Gene stable ID,Gene stable ID version,Gene name,Human gene stable ID,Human gene name
ENSCGRG00001000084,ENSCGRG00001000084.1,Atad2,,
ENSCGRG00001000085,ENSCGRG00001000085.1,Fancf,ENSG00000183161,FANCF
ENSCGRG00001000086,ENSCGRG00001000086.1,Fam216b,ENSG00000179813,FAM216B
ENSCGRG00001000087,ENSCGRG00001000087.1,Me3,ENSG00000151376,ME3
ENSCGRG00001000088,ENSCGRG00001000088.1,,ENSG00000126524,SBDS
ENSCGRG00001000089,ENSCGRG00001000089.1,Lrp3,ENSG00000130881,LRP3
ENSCGRG00001000090,ENSCGRG00001000090.1,Dnajc19,ENSG00000205981,DNAJC19
ENSCGRG00001000091,ENSCGRG00001000091.1,,,
ENSCGRG00001000092,ENSCGRG00001000092.1,Kcnc3,ENSG00000131398,KCNC3
ENSCGRG00001000093,ENSCGRG00001000093.1,,ENSG00000091140,DLD
ENSCGRG00001000094,ENSCGRG00001000094.1,H2-M5,,
ENSCGRG00001000095,ENSCGRG00001000095.1,Dtnbp1,ENSG00000047579,DTNBP1
ENSCGRG00001000096,ENSCGRG00001000096.1,Cryba1,ENSG00000108255,CRYBA1
ENSCGRG00001000097,ENSCGRG00001000097.1,Bhlhe41,ENSG00000123095,BHLHE41
ENSCGRG00001000098,ENSCGRG00001000098.1,Leng1,ENSG00000105617,LENG1
ENSCGRG00001000099,ENSCGRG00001000099.1,,ENSG00000149806,FAU
ENSCGRG00001000100,ENSCGRG00001000100.1,Cpb2,ENSG00000080618,CPB2
ENSCGRG00001000101,ENSCGRG00001000101.1,Gtpbp10,ENSG00000105793,GTPBP10
ENSCGRG00001000102,ENSCGRG00001000102.1,Tafa3,ENSG00000184599,TAFA3
ENSCGRG00001000103,ENSCGRG00001000103.1,Mrps18c,ENSG00000163319,MRPS18C
ENSCGRG00001000104,ENSCGRG00001000104.1,,ENSG00000177138,FAM9B
ENSCGRG00001000104,ENSCGRG00001000104.1,,ENSG00000183304,FAM9A
ENSCGRG00001000104,ENSCGRG00001000104.1,,ENSG00000187268,FAM9C
ENSCGRG00001000105,ENSCGRG00001000105.1,Nodal,ENSG00000156574,NODAL
ENSCGRG00001000106,ENSCGRG00001000106.1,,,
ENSCGRG00001000107,ENSCGRG00001000107.1,Spink5,ENSG00000133710,SPINK5
ENSCGRG00001000108,ENSCGRG00001000108.1,Uts2,ENSG00000049247,UTS2
ENSCGRG00001000109,ENSCGRG00001000109.1,Zfp143,ENSG00000166478,ZNF143
ENSCGRG00001000110,ENSCGRG00001000110.1,Sh3d19,ENSG00000109686,SH3D19
ENSCGRG00001000111,ENSCGRG00001000111.1,Rdh13,ENSG00000160439,RDH13
ENSCGRG00001000112,ENSCGRG00001000112.1,Ccr10,ENSG00000184451,CCR10
ENSCGRG00001000113,ENSCGRG00001000113.1,Khdrbs3,ENSG00000131773,KHDRBS3
ENSCGRG00001000114,ENSCGRG00001000114.1,Lrrc36,ENSG00000159708,LRRC36
ENSCGRG00001000115,ENSCGRG00001000115.1,Krt23,ENSG00000108244,KRT23
ENSCGRG00001000116,ENSCGRG00001000116.1,Gnat2,ENSG00000134183,GNAT2
ENSCGRG00001000117,ENSCGRG00001000117.1,Dact3,ENSG00000197380,DACT3
ENSCGRG00001000118,ENSCGRG00001000118.1,Prrt2,ENSG00000167371,PRRT2
ENSCGRG00001000119,ENSCGRG00001000119.1,Lmntd2,ENSG00000185522,LMNTD2
ENSCGRG00001000120,ENSCGRG00001000120.1,Rfx4,ENSG00000111783,RFX4
ENSCGRG00001000121,ENSCGRG00001000121.1,,,
ENSCGRG00001000122,ENSCGRG00001000122.1,Fis1,ENSG00000214253,FIS1
ENSCGRG00001000123,ENSCGRG00001000123.1,L3mbtl1,ENSG00000185513,L3MBTL1
ENSCGRG00001000124,ENSCGRG00001000124.1,Nxnl2,ENSG00000130045,NXNL2
ENSCGRG00001000125,ENSCGRG00001000125.1,Usf2,ENSG00000105698,USF2
ENSCGRG00001000126,ENSCGRG00001000126.1,Egfl8,ENSG00000241404,EGFL8
ENSCGRG00001000127,ENSCGRG00001000127.1,Mettl6,ENSG00000206562,METTL6
ENSCGRG00001000128,ENSCGRG00001000128.1,,ENSG00000183695,MRGPRX2
ENSCGRG00001000128,ENSCGRG00001000128.1,,ENSG00000179826,MRGPRX3
ENSCGRG00001000128,ENSCGRG00001000128.1,,ENSG00000179817,MRGPRX4
ENSCGRG00001000128,ENSCGRG00001000128.1,,ENSG00000170255,MRGPRX1
ENSCGRG00001000129,ENSCGRG00001000129.1,Masp2,ENSG00000009724,MASP2
ENSCGRG00001000130,ENSCGRG00001000130.1,,ENSG00000090060,PAPOLA
ENSCGRG00001000131,ENSCGRG00001000131.1,,,
ENSCGRG00001000132,ENSCGRG00001000132.1,Fanca,ENSG00000187741,FANCA
ENSCGRG00001000133,ENSCGRG00001000133.1,Nagk,ENSG00000124357,NAGK
ENSCGRG00001000134,ENSCGRG00001000134.1,Psmd4,ENSG00000159352,PSMD4
ENSCGRG00001000135,ENSCGRG00001000135.1,Pth,ENSG00000152266,PTH
ENSCGRG00001000136,ENSCGRG00001000136.1,Umod,ENSG00000169344,UMOD
ENSCGRG00001000137,ENSCGRG00001000137.1,Rpl14,ENSG00000188846,RPL14
ENSCGRG00001000138,ENSCGRG00001000138.1,,ENSG00000184788,SATL1
ENSCGRG00001000139,ENSCGRG00001000139.1,,ENSG00000021355,SERPINB1
ENSCGRG00001000140,ENSCGRG00001000140.1,Fzd2,ENSG00000180340,FZD2
ENSCGRG00001000141,ENSCGRG00001000141.1,Gdf2,ENSG00000263761,GDF2
ENSCGRG00001000142,ENSCGRG00001000142.1,Ap3s2,ENSG00000157823,AP3S2
ENSCGRG00001000143,ENSCGRG00001000143.1,,,
ENSCGRG00001000144,ENSCGRG00001000144.1,Kcnv1,ENSG00000164794,KCNV1
ENSCGRG00001000145,ENSCGRG00001000145.1,Ccdc103,ENSG00000167131,CCDC103
ENSCGRG00001000146,ENSCGRG00001000146.1,Gm15056,,
ENSCGRG00001000147,ENSCGRG00001000147.1,Brs3,ENSG00000102239,BRS3
ENSCGRG00001000148,ENSCGRG00001000148.1,Rps18,ENSG00000231500,RPS18
ENSCGRG00001000149,ENSCGRG00001000149.1,Def6,ENSG00000023892,DEF6
ENSCGRG00001000150,ENSCGRG00001000150.1,Hal,ENSG00000084110,HAL
ENSCGRG00001000151,ENSCGRG00001000151.1,,ENSG00000141252,VPS53
ENSCGRG00001000152,ENSCGRG00001000152.1,Olfr669,ENSG00000181009,OR52N5
ENSCGRG00001000153,ENSCGRG00001000153.1,Cdh1,ENSG00000039068,CDH1
ENSCGRG00001000154,ENSCGRG00001000154.1,Sall2,ENSG00000165821,SALL2
ENSCGRG00001000155,ENSCGRG00001000155.1,Psmd8,ENSG00000099341,PSMD8
ENSCGRG00001000156,ENSCGRG00001000156.1,Llcfc1,ENSG00000165131,LLCFC1
ENSCGRG00001000157,ENSCGRG00001000157.1,Trim45,ENSG00000134253,TRIM45
ENSCGRG00001000158,ENSCGRG00001000158.1,Pcmtd2,ENSG00000203880,PCMTD2
ENSCGRG00001000159,ENSCGRG00001000159.1,Rorc,ENSG00000143365,RORC
ENSCGRG00001000160,ENSCGRG00001000160.1,Pmfbp1,ENSG00000118557,PMFBP1
ENSCGRG00001000161,ENSCGRG00001000161.1,Ncapd3,ENSG00000151503,NCAPD3
ENSCGRG00001000162,ENSCGRG00001000162.1,Iffo1,ENSG00000010295,IFFO1
ENSCGRG00001000163,ENSCGRG00001000163.1,Loxl2,ENSG00000134013,LOXL2
ENSCGRG00001000164,ENSCGRG00001000164.1,Sdsl,ENSG00000139410,SDSL
ENSCGRG00001000165,ENSCGRG00001000165.1,Ccnl1,ENSG00000163660,CCNL1
ENSCGRG00001000166,ENSCGRG00001000166.1,,,
ENSCGRG00001000167,ENSCGRG00001000167.1,Car11,ENSG00000063180,CA11
ENSCGRG00001000168,ENSCGRG00001000168.1,Fam3d,ENSG00000198643,FAM3D
ENSCGRG00001000169,ENSCGRG00001000169.1,,,
ENSCGRG00001000170,ENSCGRG00001000170.1,Nrap,ENSG00000197893,NRAP
ENSCGRG00001000171,ENSCGRG00001000171.1,Hsf2,ENSG00000025156,HSF2
ENSCGRG00001000172,ENSCGRG00001000172.1,Lrig2,ENSG00000198799,LRIG2
ENSCGRG00001000173,ENSCGRG00001000173.1,Tomm70a,ENSG00000154174,TOMM70
ENSCGRG00001000174,ENSCGRG00001000174.1,,ENSG00000181163,NPM1
ENSCGRG00001000175,ENSCGRG00001000175.1,Enpp1,ENSG00000197594,ENPP1
ENSCGRG00001000176,ENSCGRG00001000176.1,Rfc5,ENSG00000111445,RFC5
ENSCGRG00001000177,ENSCGRG00001000177.1,Slc25a40,ENSG00000075303,SLC25A40
ENSCGRG00001000178,ENSCGRG00001000178.1,Ppp1r37,ENSG00000104866,PPP1R37
ENSCGRG00001000179,ENSCGRG00001000179.1,Tmem35a,ENSG00000126950,TMEM35A
ENSCGRG00001000180,ENSCGRG00001000180.1,,ENSG00000138071,ACTR2
ENSCGRG00001000181,ENSCGRG00001000181.1,,,
ENSCGRG00001000182,ENSCGRG00001000182.1,SLX1,ENSG00000132207,SLX1A
ENSCGRG00001000182,ENSCGRG00001000182.1,SLX1,ENSG00000181625,SLX1B
ENSCGRG00001000183,ENSCGRG00001000183.1,Dlg1,ENSG00000075711,DLG1
ENSCGRG00001000184,ENSCGRG00001000184.1,Septin11,ENSG00000138758,SEPTIN11
ENSCGRG00001000185,ENSCGRG00001000185.1,Uckl1,ENSG00000198276,UCKL1
ENSCGRG00001000186,ENSCGRG00001000186.1,Ap3s1,ENSG00000177879,AP3S1
ENSCGRG00001000187,ENSCGRG00001000187.1,Gm5901,ENSG00000180878,C11orf42
ENSCGRG00001000188,ENSCGRG00001000188.1,Psmd3,ENSG00000108344,PSMD3
ENSCGRG00001000189,ENSCGRG00001000189.1,Vwa2,ENSG00000165816,VWA2
ENSCGRG00001000190,ENSCGRG00001000190.1,Nhlrc3,ENSG00000188811,NHLRC3
ENSCGRG00001000191,ENSCGRG00001000191.1,,,
ENSCGRG00001000192,ENSCGRG00001000192.1,Rxrb,ENSG00000204231,RXRB
ENSCGRG00001000193,ENSCGRG00001000193.1,Nrf1,ENSG00000106459,NRF1
ENSCGRG00001000194,ENSCGRG00001000194.1,Has2,ENSG00000170961,HAS2
ENSCGRG00001000195,ENSCGRG00001000195.1,,ENSG00000131148,EMC8
ENSCGRG00001000196,ENSCGRG00001000196.1,Arhgap42,ENSG00000165895,ARHGAP42
ENSCGRG00001000197,ENSCGRG00001000197.1,Gmip,ENSG00000089639,GMIP
ENSCGRG00001000198,ENSCGRG00001000198.1,Golga7b,ENSG00000155265,GOLGA7B
ENSCGRG00001000199,ENSCGRG00001000199.1,,,
ENSCGRG00001000200,ENSCGRG00001000200.1,Tm9sf2,ENSG00000125304,TM9SF2
ENSCGRG00001000201,ENSCGRG00001000201.1,Fstl5,ENSG00000168843,FSTL5
ENSCGRG00001000202,ENSCGRG00001000202.1,Scml4,ENSG00000146285,SCML4
ENSCGRG00001000203,ENSCGRG00001000203.1,Coa6,ENSG00000168275,COA6
ENSCGRG00001000204,ENSCGRG00001000204.1,Slc22a22,,
ENSCGRG00001000205,ENSCGRG00001000205.1,Kifbp,ENSG00000198954,KIFBP
ENSCGRG00001000206,ENSCGRG00001000206.1,,ENSG00000155008,APOOL
ENSCGRG00001000207,ENSCGRG00001000207.1,Zyx,ENSG00000159840,ZYX
ENSCGRG00001000208,ENSCGRG00001000208.1,,ENSG00000164904,ALDH7A1
ENSCGRG00001000209,ENSCGRG00001000209.1,Lrrc29,,
ENSCGRG00001000210,ENSCGRG00001000210.1,Shoc2,ENSG00000108061,SHOC2
ENSCGRG00001000211,ENSCGRG00001000211.1,Cops4,ENSG00000138663,COPS4
ENSCGRG00001000212,ENSCGRG00001000212.1,Scpep1,ENSG00000121064,SCPEP1
ENSCGRG00001000213,ENSCGRG00001000213.1,,,
ENSCGRG00001000214,ENSCGRG00001000214.1,Nrbp1,ENSG00000115216,NRBP1
ENSCGRG00001000215,ENSCGRG00001000215.1,Itpkc,ENSG00000086544,ITPKC
ENSCGRG00001000216,ENSCGRG00001000216.1,Saysd1,ENSG00000112167,SAYSD1
ENSCGRG00001000217,ENSCGRG00001000217.1,Plch1,ENSG00000114805,PLCH1
ENSCGRG00001000218,ENSCGRG00001000218.1,Mpig6b,ENSG00000204420,MPIG6B
ENSCGRG00001000219,ENSCGRG00001000219.1,,ENSG00000187545,PRAMEF10
ENSCGRG00001000219,ENSCGRG00001000219.1,,ENSG00000182330,PRAMEF8
ENSCGRG00001000219,ENSCGRG00001000219.1,,ENSG00000280267,PRAMEF26
ENSCGRG00001000219,ENSCGRG00001000219.1,,ENSG00000270601,PRAMEF5
ENSCGRG00001000219,ENSCGRG00001000219.1,,ENSG00000116726,PRAMEF12
ENSCGRG00001000219,ENSCGRG00001000219.1,,ENSG00000237700,PRAMEF33
ENSCGRG00001000219,ENSCGRG00001000219.1,,ENSG00000204479,PRAMEF17
ENSCGRG00001000219,ENSCGRG00001000219.1,,ENSG00000274764,PRAMEF27
ENSCGRG00001000219,ENSCGRG00001000219.1,,ENSG00000204480,PRAMEF19
ENSCGRG00001000219,ENSCGRG00001000219.1,,ENSG00000243073,PRAMEF4
ENSCGRG00001000219,ENSCGRG00001000219.1,,ENSG00000204505,PRAMEF9
ENSCGRG00001000219,ENSCGRG00001000219.1,,ENSG00000232423,PRAMEF6
ENSCGRG00001000219,ENSCGRG00001000219.1,,ENSG00000204501,PRAMEF15
ENSCGRG00001000219,ENSCGRG00001000219.1,,ENSG00000204478,PRAMEF20
ENSCGRG00001000219,ENSCGRG00001000219.1,,ENSG00000204481,PRAMEF14
ENSCGRG00001000219,ENSCGRG00001000219.1,,ENSG00000204510,PRAMEF7
ENSCGRG00001000219,ENSCGRG00001000219.1,,ENSG00000120952,PRAMEF2
ENSCGRG00001000219,ENSCGRG00001000219.1,,ENSG00000229571,PRAMEF25
ENSCGRG00001000219,ENSCGRG00001000219.1,,ENSG00000279169,PRAMEF13
ENSCGRG00001000219,ENSCGRG00001000219.1,,ENSG00000279804,PRAMEF18
ENSCGRG00001000219,ENSCGRG00001000219.1,,ENSG00000116721,PRAMEF1
ENSCGRG00001000219,ENSCGRG00001000219.1,,ENSG00000239810,PRAMEF11
ENSCGRG00001000220,ENSCGRG00001000220.1,Hbb-bh1,,
ENSCGRG00001000221,ENSCGRG00001000221.1,Cygb,ENSG00000161544,CYGB
ENSCGRG00001000222,ENSCGRG00001000222.1,Brf1,ENSG00000185024,BRF1
ENSCGRG00001000223,ENSCGRG00001000223.1,Tmem159,ENSG00000011638,LDAF1
ENSCGRG00001000224,ENSCGRG00001000224.1,Opalin,ENSG00000197430,OPALIN
ENSCGRG00001000225,ENSCGRG00001000225.1,,,
ENSCGRG00001000226,ENSCGRG00001000226.1,F7,ENSG00000057593,F7
ENSCGRG00001000227,ENSCGRG00001000227.1,Kazald1,ENSG00000107821,KAZALD1
ENSCGRG00001000228,ENSCGRG00001000228.1,Rarb,ENSG00000077092,RARB
ENSCGRG00001000229,ENSCGRG00001000229.1,,ENSG00000090060,PAPOLA
ENSCGRG00001000230,ENSCGRG00001000230.1,Far2,ENSG00000064763,FAR2
ENSCGRG00001000231,ENSCGRG00001000231.1,9530053A07Rik,,
ENSCGRG00001000232,ENSCGRG00001000232.1,Utf1,,
ENSCGRG00001000233,ENSCGRG00001000233.1,,ENSG00000089127,OAS1
ENSCGRG00001000234,ENSCGRG00001000234.1,Reg4,ENSG00000134193,REG4
ENSCGRG00001000235,ENSCGRG00001000235.1,,,
ENSCGRG00001000236,ENSCGRG00001000236.1,Epyc,ENSG00000083782,EPYC
ENSCGRG00001000237,ENSCGRG00001000237.1,AI597479,ENSG00000135974,C2orf49
ENSCGRG00001000238,ENSCGRG00001000238.1,Pla2g12b,ENSG00000138308,PLA2G12B
ENSCGRG00001000239,ENSCGRG00001000239.1,,ENSG00000096006,CRISP3
ENSCGRG00001000240,ENSCGRG00001000240.1,Ikzf5,ENSG00000095574,IKZF5
ENSCGRG00001000241,ENSCGRG00001000241.1,Ctnna2,ENSG00000066032,CTNNA2
ENSCGRG00001000242,ENSCGRG00001000242.1,Slc9a5,ENSG00000135740,SLC9A5
ENSCGRG00001000243,ENSCGRG00001000243.1,Enpp4,ENSG00000001561,ENPP4
ENSCGRG00001000244,ENSCGRG00001000244.1,Ttc26,ENSG00000105948,TTC26
ENSCGRG00001000245,ENSCGRG00001000245.1,,,
ENSCGRG00001000246,ENSCGRG00001000246.1,Trak1,ENSG00000182606,TRAK1
ENSCGRG00001000247,ENSCGRG00001000247.1,,ENSG00000099810,MTAP
ENSCGRG00001000248,ENSCGRG00001000248.1,,,
ENSCGRG00001000249,ENSCGRG00001000249.1,Fcer2a,ENSG00000104921,FCER2
ENSCGRG00001000250,ENSCGRG00001000250.1,Ngf,ENSG00000134259,NGF
ENSCGRG00001000251,ENSCGRG00001000251.1,Mamld1,ENSG00000013619,MAMLD1
ENSCGRG00001000252,ENSCGRG00001000252.1,Trpa1,ENSG00000104321,TRPA1
ENSCGRG00001000253,ENSCGRG00001000253.1,Tlcd2,ENSG00000185561,TLCD2
ENSCGRG00001000254,ENSCGRG00001000254.1,Sntn,ENSG00000188817,SNTN
ENSCGRG00001000255,ENSCGRG00001000255.1,Znrf3,ENSG00000183579,ZNRF3
ENSCGRG00001000256,ENSCGRG00001000256.1,Dnase2b,ENSG00000137976,DNASE2B
ENSCGRG00001000257,ENSCGRG00001000257.1,,,
ENSCGRG00001000258,ENSCGRG00001000258.1,Pcdha1,ENSG00000204970,PCDHA1
ENSCGRG00001000259,ENSCGRG00001000259.1,,ENSG00000090060,PAPOLA
ENSCGRG00001000260,ENSCGRG00001000260.1,Garin1a,ENSG00000205085,GARIN1A
ENSCGRG00001000261,ENSCGRG00001000261.1,Niban3,ENSG00000167483,NIBAN3
ENSCGRG00001000262,ENSCGRG00001000262.1,Rwdd1,ENSG00000111832,RWDD1
ENSCGRG00001000263,ENSCGRG00001000263.1,Xpo1,ENSG00000082898,XPO1
ENSCGRG00001000264,ENSCGRG00001000264.1,Cdc37l1,ENSG00000106993,CDC37L1
ENSCGRG00001000265,ENSCGRG00001000265.1,,,
ENSCGRG00001000266,ENSCGRG00001000266.1,Mobp,ENSG00000168314,MOBP
ENSCGRG00001000267,ENSCGRG00001000267.1,Padi4,ENSG00000159339,PADI4
ENSCGRG00001000268,ENSCGRG00001000268.1,Mphosph8,ENSG00000196199,MPHOSPH8
ENSCGRG00001000269,ENSCGRG00001000269.1,,ENSG00000181191,PJA1
ENSCGRG00001000270,ENSCGRG00001000270.1,Akr1c18,,
ENSCGRG00001000271,ENSCGRG00001000271.1,Castor1,ENSG00000239282,CASTOR1
ENSCGRG00001000272,ENSCGRG00001000272.1,,,
ENSCGRG00001000273,ENSCGRG00001000273.1,Car15,,
ENSCGRG00001000274,ENSCGRG00001000274.1,Cxcl10,ENSG00000169245,CXCL10
ENSCGRG00001000275,ENSCGRG00001000275.1,Klhl11,ENSG00000178502,KLHL11
ENSCGRG00001000276,ENSCGRG00001000276.1,Hpn,ENSG00000105707,HPN
ENSCGRG00001000277,ENSCGRG00001000277.1,Zfp787,ENSG00000142409,ZNF787
ENSCGRG00001000278,ENSCGRG00001000278.1,Gnrhr,ENSG00000109163,GNRHR
ENSCGRG00001000279,ENSCGRG00001000279.1,Ndufb9,ENSG00000147684,NDUFB9
ENSCGRG00001000280,ENSCGRG00001000280.1,,ENSG00000156920,ADGRG4
ENSCGRG00001000281,ENSCGRG00001000281.1,,ENSG00000140548,ZNF710
ENSCGRG00001000282,ENSCGRG00001000282.1,,ENSG00000159217,IGF2BP1
ENSCGRG00001000283,ENSCGRG00001000283.1,,ENSG00000244005,NFS1
ENSCGRG00001000284,ENSCGRG00001000284.1,,,
ENSCGRG00001000285,ENSCGRG00001000285.1,Mthfd2,ENSG00000065911,MTHFD2
ENSCGRG00001000286,ENSCGRG00001000286.1,Slc25a26,ENSG00000144741,SLC25A26
ENSCGRG00001000287,ENSCGRG00001000287.1,Taf3,ENSG00000165632,TAF3
ENSCGRG00001000288,ENSCGRG00001000288.1,Lyg2,ENSG00000185674,LYG2
ENSCGRG00001000289,ENSCGRG00001000289.1,Hrg,ENSG00000113905,HRG
ENSCGRG00001000290,ENSCGRG00001000290.1,,,
ENSCGRG00001000291,ENSCGRG00001000291.1,,ENSG00000134216,CHIA
ENSCGRG00001000292,ENSCGRG00001000292.1,Dnajc15,ENSG00000120675,DNAJC15
