From	To	Species	Gene Name
ENSCGRG00001005062	103161413	Cricetulus griseus	transcription elongation factor A like 9(Tceal9)
ENSCGRG00001014809	100763237	Cricetulus griseus	fibroblast growth factor 5(Fgf5)
ENSCGRG00001014805	100755256	Cricetulus griseus	integrator complex subunit 10(Ints10)
ENSCGRG00001006396	100763695	Cricetulus griseus	TLC domain containing 3A(Tlcd3a)
ENSCGRG00001005065	100752292	Cricetulus griseus	CTD small phosphatase like 2(Ctdspl2)
ENSCGRG00001014807	100771751	Cricetulus griseus	RAD54 like(Rad54l)
ENSCGRG00001005066	100757565	Cricetulus griseus	IgA inducing protein(Igip)
ENSCGRG00001017085	100756377	Cricetulus griseus	chordin like 2(Chrdl2)
ENSCGRG00001017087	100765826	Cricetulus griseus	small VCP interacting protein(Svip)
ENSCGRG00001017081	100771907	Cricetulus griseus	amidohydrolase domain containing 2(Amdhd2)
ENSCGRG00001017080	100773546	Cricetulus griseus	calmegin(Clgn)
ENSCGRG00001017083	100771822	Cricetulus griseus	sushi domain containing 4(Susd4)
ENSCGRG00001017089	100759005	Cricetulus griseus	myosin heavy chain 10(Myh10)
ENSCGRG00001006383	100756029	Cricetulus griseus	cell cycle associated protein 1(Caprin1)
ENSCGRG00001014812	100770602	Cricetulus griseus	transmembrane protein 87B(Tmem87b)
ENSCGRG00001006384	100750429	Cricetulus griseus	synaptophysin like 2(Sypl2)
ENSCGRG00001014814	113837363	Cricetulus griseus	ETS translocation variant 2-like(LOC113837363)
ENSCGRG00001014815	100753038	Cricetulus griseus	THO complex subunit 7(Thoc7)
ENSCGRG00001014810	100764643	Cricetulus griseus	zinc finger with KRAB and SCAN domains 7(Zkscan7)
ENSCGRG00001014811	100765281	Cricetulus griseus	calmodulin 2(Calm2)
ENSCGRG00001014811	100762749	Cricetulus griseus	calmodulin 3(Calm3)
ENSCGRG00001014811	100771772	Cricetulus griseus	calmodulin 1(Calm1)
ENSCGRG00001017090	100754604	Cricetulus griseus	microtubule affinity regulating kinase 4(Mark4)
ENSCGRG00001005058	100773151	Cricetulus griseus	SLIT and NTRK like family member 3(Slitrk3)
ENSCGRG00001014816	113837364	Cricetulus griseus	splicing factor U2AF 26 kDa subunit(LOC113837364)
ENSCGRG00001014817	100754963	Cricetulus griseus	1-acylglycerol-3-phosphate O-acyltransferase 2(Agpat2)
ENSCGRG00001017098	100751644	Cricetulus griseus	cell growth regulator with ring finger domain 1(Cgrrf1)
ENSCGRG00001017094	100752341	Cricetulus griseus	regulator of microtubule dynamics 3(Rmdn3)
ENSCGRG00001017093	100768990	Cricetulus griseus	SH2 domain containing adaptor protein B(Shb)
ENSCGRG00001017099	100772243	Cricetulus griseus	NudC domain containing 2(Nudcd2)
ENSCGRG00001006372	100764721	Cricetulus griseus	phosphatase, orphan 2(Phospho2)
ENSCGRG00001005042	100765437	Cricetulus griseus	complement C1q like 1(C1ql1)
ENSCGRG00001014824	100768082	Cricetulus griseus	myosin VIIA(Myo7a)
ENSCGRG00001014825	100767982	Cricetulus griseus	N-acetyltransferase 8(LOC100767982)
ENSCGRG00001014826	100772151	Cricetulus griseus	serpin family B member 2(Serpinb2)
ENSCGRG00001014820	100774955	Cricetulus griseus	cytokine inducible SH2 containing protein(Cish)
ENSCGRG00001014821	100770652	Cricetulus griseus	yippee like 3(Ypel3)
ENSCGRG00001014822	100753121	Cricetulus griseus	THAP domain containing 7(Thap7)
ENSCGRG00001014827	100754254	Cricetulus griseus	calcium release activated channel regulator 2B(Cracr2b)
ENSCGRG00001014828	100766032	Cricetulus griseus	cytochrome c1, heme protein, mitochondrial(LOC100766032)
ENSCGRG00001014829	100754766	Cricetulus griseus	THUMP domain containing 1(Thumpd1)
ENSCGRG00001005044	100767538	Cricetulus griseus	heterogeneous nuclear ribonucleoprotein A/B(Hnrnpab)
ENSCGRG00001006361	100751799	Cricetulus griseus	oxysterol binding protein like 10(Osbpl10)
ENSCGRG00001013501	100769319	Cricetulus griseus	COPI coat complex subunit zeta 1(Copz1)
ENSCGRG00001014835	100761553	Cricetulus griseus	intraflagellar transport 88(Ift88)
ENSCGRG00001014837	100761584	Cricetulus griseus	hyccin PI4KA lipid kinase complex subunit 1(Hycc1)
ENSCGRG00001013506	100773878	Cricetulus griseus	enhancer of polycomb homolog 1(Epc1)
ENSCGRG00001013505	100757180	Cricetulus griseus	BRCA2 and CDKN1A interacting protein(Bccip)
ENSCGRG00001014831	100760493	Cricetulus griseus	HEXIM P-TEFb complex subunit 2(Hexim2)
ENSCGRG00001013504	100763221	Cricetulus griseus	colony stimulating factor 1 receptor(Csf1r)
ENSCGRG00001014832	100762369	Cricetulus griseus	blood group Rh(D) polypeptide(LOC100762369)
ENSCGRG00001005038	100765637	Cricetulus griseus	SET domain containing 2, histone lysine methyltransferase(Setd2)
ENSCGRG00001013509	100757548	Cricetulus griseus	bisphosphoglycerate mutase(Bpgm)
ENSCGRG00001013508	100766533	Cricetulus griseus	coiled-coil domain containing 85B(Ccdc85b)
ENSCGRG00001005036	113834768	Cricetulus griseus	doublesex- and mab-3-related transcription factor 3(LOC113834768)
ENSCGRG00001007699	100756133	Cricetulus griseus	neutral cholesterol ester hydrolase 1(Nceh1)
ENSCGRG00001013507	100766828	Cricetulus griseus	acyl-CoA dehydrogenase short/branched chain(Acadsb)
ENSCGRG00001006368	100757179	Cricetulus griseus	transient receptor potential cation channel subfamily C member 6(Trpc6)
ENSCGRG00001007698	100760813	Cricetulus griseus	zinc finger DHHC-type containing 24(Zdhhc24)
ENSCGRG00001014838	100750822	Cricetulus griseus	cytochrome b-c1 complex subunit 2, mitochondrial(LOC100750822)
ENSCGRG00001014839	100753256	Cricetulus griseus	VPS52 subunit of GARP complex(Vps52)
ENSCGRG00001007696	100751504	Cricetulus griseus	transmembrane protein 207(Tmem207)
ENSCGRG00001006363	100758809	Cricetulus griseus	phosphoribosyl pyrophosphate synthetase associated protein 2(Prpsap2)
ENSCGRG00001005033	100750470	Cricetulus griseus	transmembrane O-mannosyltransferase targeting cadherins 2(Tmtc2)
ENSCGRG00001007694	100766114	Cricetulus griseus	polyhomeotic homolog 3(Phc3)
ENSCGRG00001005029	100763587	Cricetulus griseus	transmembrane epididymal protein 1A(LOC100763587)
ENSCGRG00001014840	100754648	Cricetulus griseus	intersectin 2(Itsn2)
ENSCGRG00001013513	100770434	Cricetulus griseus	REC8 meiotic recombination protein(Rec8)
ENSCGRG00001013512	100754245	Cricetulus griseus	family with sequence similarity 83 member H(Fam83h)
ENSCGRG00001007681	113834606	Cricetulus griseus	RNA-binding motif protein, X chromosome-like(LOC113834606)
ENSCGRG00001013511	100765748	Cricetulus griseus	coenzyme Q9(Coq9)
ENSCGRG00001014847	100763458	Cricetulus griseus	cyclin J(Ccnj)
ENSCGRG00001013510	100762983	Cricetulus griseus	zinc finger SWIM-type containing 8(Zswim8)
ENSCGRG00001014848	100768056	Cricetulus griseus	STEAP family member 1(Steap1)
ENSCGRG00001014841	100774201	Cricetulus griseus	kinesin light chain 4(Klc4)
ENSCGRG00001013516	100771213	Cricetulus griseus	homeobox C11(Hoxc11)
ENSCGRG00001014842	100759421	Cricetulus griseus	mediator complex subunit 10(Med10)
ENSCGRG00001014843	100764668	Cricetulus griseus	methyl-CpG binding domain protein 1(Mbd1)
ENSCGRG00001013514	100755563	Cricetulus griseus	transmembrane protein 26(Tmem26)
ENSCGRG00001005027	100761335	Cricetulus griseus	nuclear autoantigenic sperm protein(Nasp)
ENSCGRG00001006359	100774258	Cricetulus griseus	sodium-dependent dopamine transporter(LOC100774258)
ENSCGRG00001013519	100774034	Cricetulus griseus	regulatory factor X6(Rfx6)
ENSCGRG00001013518	100753830	Cricetulus griseus	basic helix-loop-helix family member a9(Bhlha9)
ENSCGRG00001006357	100762322	Cricetulus griseus	DDB1 and CUL4 associated factor 11(Dcaf11)
ENSCGRG00001006354	100770548	Cricetulus griseus	spermatid perinuclear RNA binding protein(Strbp)
ENSCGRG00001006355	100774923	Cricetulus griseus	jade family PHD finger 3(Jade3)
ENSCGRG00001005021	100762806	Cricetulus griseus	ribonuclease H2 subunit A(Rnaseh2a)
ENSCGRG00001007683	100756505	Cricetulus griseus	aryl hydrocarbon receptor repressor(LOC100756505)
ENSCGRG00001014850	100762708	Cricetulus griseus	cereblon(Crbn)
ENSCGRG00001014851	100757162	Cricetulus griseus	target of myb1 membrane trafficking protein(Tom1)
ENSCGRG00001013524	100763810	Cricetulus griseus	centrosomal protein 85 like(Cep85l)
ENSCGRG00001014856	100772005	Cricetulus griseus	ATPase family AAA domain-containing protein 3(LOC100772005)
ENSCGRG00001006340	100764149	Cricetulus griseus	ras homolog family member V(Rhov)
ENSCGRG00001014857	100752313	Cricetulus griseus	integrin subunit alpha V(Itgav)
ENSCGRG00001013522	100767331	Cricetulus griseus	G protein-coupled receptor 180(Gpr180)
ENSCGRG00001013528	100761454	Cricetulus griseus	heparin binding growth factor(Hdgf)
ENSCGRG00001013527	113837332	Cricetulus griseus	free fatty acid receptor 1(LOC113837332)
ENSCGRG00001014853	100758762	Cricetulus griseus	pyruvate dehydrogenase kinase 2(Pdk2)
ENSCGRG00001014854	100767122	Cricetulus griseus	BUB3 mitotic checkpoint protein(Bub3)
ENSCGRG00001013525	100765653	Cricetulus griseus	solute carrier family 8 member A2(Slc8a2)
ENSCGRG00001005016	100763993	Cricetulus griseus	katanin regulatory subunit B1(Katnb1)
ENSCGRG00001006348	100771578	Cricetulus griseus	SMAD family member 2(Smad2)
ENSCGRG00001005014	100755469	Cricetulus griseus	RUN domain containing 3A(Rundc3a)
ENSCGRG00001007677	100767730	Cricetulus griseus	solute carrier family 43 member 2(Slc43a2)
ENSCGRG00001013529	100773979	Cricetulus griseus	progesterone immunomodulatory binding factor 1(Pibf1)
ENSCGRG00001005013	100774176	Cricetulus griseus	endothelin receptor type A(Ednra)
ENSCGRG00001006341	100773443	Cricetulus griseus	myogenic factor 6(Myf6)
ENSCGRG00001005010	100755296	Cricetulus griseus	ankyrin repeat domain 12(Ankrd12)
ENSCGRG00001005011	100750401	Cricetulus griseus	myotubularin related protein 12(Mtmr12)
ENSCGRG00001005008	100774317	Cricetulus griseus	ELOVL fatty acid elongase 3(Elovl3)
ENSCGRG00001014861	100772623	Cricetulus griseus	crystallin alpha B(Cryab)
ENSCGRG00001014862	100774481	Cricetulus griseus	proline and serine rich 3(Proser3)
ENSCGRG00001013531	100774807	Cricetulus griseus	EPH receptor B3(Ephb3)
ENSCGRG00001013530	100770178	Cricetulus griseus	RAB39A, member RAS oncogene family(Rab39a)
ENSCGRG00001013535	100764546	Cricetulus griseus	solute carrier family 7 member 11(Slc7a11)
ENSCGRG00001012204	100770756	Cricetulus griseus	myomesin 1(Myom1)
ENSCGRG00001007660	100764376	Cricetulus griseus	zinc finger DHHC-type palmitoyltransferase 17(Zdhhc17)
ENSCGRG00001013534	100768770	Cricetulus griseus	CD163 molecule(Cd163)
ENSCGRG00001014868	100773093	Cricetulus griseus	mal, T cell differentiation protein(Mal)
ENSCGRG00001013533	100772023	Cricetulus griseus	SAS-6 centriolar assembly protein(Sass6)
ENSCGRG00001014869	100751313	Cricetulus griseus	ankyrin repeat and SOCS box containing 12(Asb12)
ENSCGRG00001012201	100768809	Cricetulus griseus	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3(Smarcd3)
ENSCGRG00001012207	100762943	Cricetulus griseus	mutS homolog 3(Msh3)
ENSCGRG00001012206	100756698	Cricetulus griseus	importin 11(Ipo11)
ENSCGRG00001013537	100751944	Cricetulus griseus	receptor interacting serine/threonine kinase 2(Ripk2)
ENSCGRG00001012205	100766289	Cricetulus griseus	VPS26, retromer complex component A(Vps26a)
ENSCGRG00001014866	100761880	Cricetulus griseus	notch receptor 1(Notch1)
ENSCGRG00001013536	100768222	Cricetulus griseus	GA binding protein transcription factor subunit beta 2(Gabpb2)
ENSCGRG00001006336	100762914	Cricetulus griseus	SMG5 nonsense mediated mRNA decay factor(Smg5)
ENSCGRG00001005005	100754021	Cricetulus griseus	dynein axonemal intermediate chain 1(Dnai1)
ENSCGRG00001008997	100763244	Cricetulus griseus	valosin containing protein interacting protein 1(Vcpip1)
ENSCGRG00001006335	100689182	Cricetulus griseus	sphingosine-1-phosphate receptor 3(S1pr3)
ENSCGRG00001012209	100768910	Cricetulus griseus	nuclear FMR1 interacting protein 1(Nufip1)
ENSCGRG00001007665	103160795	Cricetulus griseus	POU class 6 homeobox 1(Pou6f1)
ENSCGRG00001006332	100763940	Cricetulus griseus	plexin A2(Plxna2)
ENSCGRG00001006333	100752147	Cricetulus griseus	tRNA methyltransferase 10B(Trmt10b)
ENSCGRG00001008994	100774694	Cricetulus griseus	RAB23, member RAS oncogene family(Rab23)
ENSCGRG00001007663	100762009	Cricetulus griseus	interleukin 10 receptor subunit alpha(Il10ra)
ENSCGRG00001006330	100771421	Cricetulus griseus	TRAF3 interacting protein 1(Traf3ip1)
ENSCGRG00001008992	100761910	Cricetulus griseus	DNA topoisomerase II binding protein 1(Topbp1)
ENSCGRG00001001557	100773901	Cricetulus griseus	proline dehydrogenase 2(Prodh2)
ENSCGRG00001000226	100759052	Cricetulus griseus	coagulation factor VII(F7)
ENSCGRG00001000227	100750725	Cricetulus griseus	Kazal type serine peptidase inhibitor domain 1(Kazald1)
ENSCGRG00001001559	100750726	Cricetulus griseus	oxidative stress induced growth inhibitor 1(Osgin1)
ENSCGRG00001000228	100768698	Cricetulus griseus	retinoic acid receptor beta(Rarb)
ENSCGRG00001020630	100761373	Cricetulus griseus	rano class II histocompatibility antigen, A beta chain(LOC100761373)
ENSCGRG00001020631	100756549	Cricetulus griseus	sushi domain containing 3(Susd3)
ENSCGRG00001000222	100753600	Cricetulus griseus	BRF1 RNA polymerase III transcription initiation factor subunit(Brf1)
ENSCGRG00001002885	100768240	Cricetulus griseus	ChaC glutathione specific gamma-glutamylcyclotransferase 2(Chac2)
ENSCGRG00001000223	100770586	Cricetulus griseus	lipid droplet assembly factor 1(Ldaf1)
ENSCGRG00001002884	100765199	Cricetulus griseus	phosphogluconate dehydrogenase(Pgd)
ENSCGRG00001000224	100763742	Cricetulus griseus	oligodendrocytic myelin paranodal and inner loop protein(Opalin)
ENSCGRG00001020634	100769788	Cricetulus griseus	glycogen synthase 1(Gys1)
ENSCGRG00001021965	100763712	Cricetulus griseus	serine and arginine rich splicing factor 9(Srsf9)
ENSCGRG00001021966	100755732	Cricetulus griseus	adenosine A3 receptor(Adora3)
ENSCGRG00001019646	100773702	Cricetulus griseus	ADAM metallopeptidase domain 15(Adam15)
ENSCGRG00001020636	100760516	Cricetulus griseus	nucleoporin 98 and 96 precursor(Nup98)
ENSCGRG00001019647	100756156	Cricetulus griseus	TBC1 domain family member 23(Tbc1d23)
ENSCGRG00001020637	100760641	Cricetulus griseus	UBA domain containing 1(Ubac1)
ENSCGRG00001018316	100755318	Cricetulus griseus	lin-54 DREAM MuvB core complex component(Lin54)
ENSCGRG00001021968	100758003	Cricetulus griseus	interleukin 1 receptor associated kinase 1 binding protein 1(Irak1bp1)
ENSCGRG00001019644	100756544	Cricetulus griseus	cellular communication network factor 5(LOC100756544)
ENSCGRG00001018315	100759415	Cricetulus griseus	abhydrolase domain containing 14B(Abhd14b)
ENSCGRG00001021969	100774918	Cricetulus griseus	transforming growth factor beta 2(Tgfb2)
ENSCGRG00001020639	100770208	Cricetulus griseus	zinc finger CCCH-type containing 7A(Zc3h7a)
ENSCGRG00001019642	100758283	Cricetulus griseus	RUNX family transcription factor 1(Runx1)
ENSCGRG00001019643	100763825	Cricetulus griseus	Rho GTPase activating protein 6(Arhgap6)
ENSCGRG00001018312	100767911	Cricetulus griseus	required for meiotic nuclear division 1 homolog(Rmnd1)
ENSCGRG00001019640	100769809	Cricetulus griseus	thioesterase superfamily member 4(Them4)
ENSCGRG00001018311	100771319	Cricetulus griseus	mediator of RNA polymerase II transcription subunit 20(LOC100771319)
ENSCGRG00001019641	100773571	Cricetulus griseus	cytochrome b-245 chaperone 1(LOC100773571)
ENSCGRG00001018317	100754326	Cricetulus griseus	tripartite motif containing 10(Trim10)
ENSCGRG00001019648	100772097	Cricetulus griseus	caveolae associated protein 2(Cavin2)
ENSCGRG00001018319	100758109	Cricetulus griseus	tRNA methyltransferase activator subunit 11-2(Trmt112)
ENSCGRG00001019649	100771141	Cricetulus griseus	zinc finger containing ubiquitin peptidase 1(Zup1)
ENSCGRG00001002881	100761183	Cricetulus griseus	spermatogenesis associated 6 like(Spata6l)
ENSCGRG00001002880	100753050	Cricetulus griseus	C-X3-C motif chemokine receptor 1(Cx3cr1)
ENSCGRG00001000221	100762644	Cricetulus griseus	cytoglobin(Cygb)
ENSCGRG00001002878	100755605	Cricetulus griseus	trace amine-associated receptor 9(LOC100755605)
ENSCGRG00001000216	100764395	Cricetulus griseus	SAYSVFN motif domain containing 1(Saysd1)
ENSCGRG00001019650	100771259	Cricetulus griseus	DNA helicase B(Helb)
ENSCGRG00001020640	100758308	Cricetulus griseus	lymphocyte antigen 6H(LOC100758308)
ENSCGRG00001021971	100760678	Cricetulus griseus	tubulin folding cofactor A(Tbca)
ENSCGRG00001000218	100762159	Cricetulus griseus	megakaryocyte and platelet inhibitory receptor G6b(Mpig6b)
ENSCGRG00001002879	100755824	Cricetulus griseus	transmembrane protein 209(Tmem209)
ENSCGRG00001020642	100766463	Cricetulus griseus	ninein(Nin)
ENSCGRG00001000211	100755032	Cricetulus griseus	COP9 signalosome subunit 4(Cops4)
ENSCGRG00001021973	100751247	Cricetulus griseus	KLF transcription factor 12(Klf12)
ENSCGRG00001020643	100773614	Cricetulus griseus	cytochrome P450 4F2(LOC100773614)
ENSCGRG00001000212	100760556	Cricetulus griseus	serine carboxypeptidase 1(Scpep1)
ENSCGRG00001021974	100774634	Cricetulus griseus	BCL2 interacting protein 3(Bnip3)
ENSCGRG00001020644	100760812	Cricetulus griseus	fatty acid binding protein 4(Fabp4)
ENSCGRG00001021975	100760970	Cricetulus griseus	VPS33B interacting protein, apical-basolateral polarity regulator, spe-39 homolog(Vipas39)
ENSCGRG00001020645	100757202	Cricetulus griseus	peroxisomal trans-2-enoyl-CoA reductase(Pecr)
ENSCGRG00001000214	100768309	Cricetulus griseus	nuclear receptor binding protein 1(Nrbp1)
ENSCGRG00001018325	100767847	Cricetulus griseus	relaxin 3(Rln3)
ENSCGRG00001020647	100751864	Cricetulus griseus	ribosomal protein L11(Rpl11)
ENSCGRG00001020647	100754808	Cricetulus griseus	elongin A(Eloa)
ENSCGRG00001019658	100767983	Cricetulus griseus	complement C4A (Rodgers blood group)(C4a)
ENSCGRG00001020648	100761429	Cricetulus griseus	kallikrein related peptidase 13(Klk13)
ENSCGRG00001018327	100764349	Cricetulus griseus	solute carrier family 66 member 3(Slc66a3)
ENSCGRG00001021979	100769122	Cricetulus griseus	solute carrier family 23 member 3(Slc23a3)
ENSCGRG00001020649	100757632	Cricetulus griseus	afamin(Afm)
ENSCGRG00001019656	100773379	Cricetulus griseus	tripartite motif containing 54(Trim54)
ENSCGRG00001018321	100754719	Cricetulus griseus	ER lipid raft associated 1(Erlin1)
ENSCGRG00001019653	100763773	Cricetulus griseus	ubiquilin 4(Ubqln4)
ENSCGRG00001018320	100764102	Cricetulus griseus	ER membrane protein complex subunit 1(LOC100764102)
ENSCGRG00001019654	100753886	Cricetulus griseus	period circadian regulator 1(Per1)
ENSCGRG00001018323	100765087	Cricetulus griseus	out at first homolog(Oaf)
ENSCGRG00001018322	100771437	Cricetulus griseus	epithelial mitogen(Epgn)
ENSCGRG00001018328	100760840	Cricetulus griseus	ribonuclease P/MRP subunit p40(Rpp40)
ENSCGRG00001001540	100752823	Cricetulus griseus	forkhead box N4(Foxn4)
ENSCGRG00001000210	100767502	Cricetulus griseus	SHOC2 leucine rich repeat scaffold protein(Shoc2)
ENSCGRG00001002871	100761932	Cricetulus griseus	calcium voltage-gated channel subunit alpha1 G(Cacna1g)
ENSCGRG00001019660	100754706	Cricetulus griseus	solute carrier family 6 member 4(Slc6a4)
ENSCGRG00001020650	100771178	Cricetulus griseus	sestrin 2(Sesn2)
ENSCGRG00001000205	100770903	Cricetulus griseus	kinesin family binding protein(Kifbp)
ENSCGRG00001021981	100762355	Cricetulus griseus	phospholipid scramblase 2-like(LOC100762355)
ENSCGRG00001019661	100756952	Cricetulus griseus	platelet derived growth factor D(Pdgfd)
ENSCGRG00001020651	100765014	Cricetulus griseus	kelch like family member 23(Klhl23)
ENSCGRG00001018330	100758453	Cricetulus griseus	LIM homeobox 1(Lhx1)
ENSCGRG00001020652	100758814	Cricetulus griseus	phospholipid phosphatase related 5(Plppr5)
ENSCGRG00001000207	100759336	Cricetulus griseus	zyxin(Zyx)
ENSCGRG00001020653	100760292	Cricetulus griseus	prostate and testis expressed 3(Pate3)
ENSCGRG00001000200	100766991	Cricetulus griseus	transmembrane 9 superfamily member 2(Tm9sf2)
ENSCGRG00001021984	100769038	Cricetulus griseus	transcription factor 21(Tcf21)
ENSCGRG00001020654	100765549	Cricetulus griseus	ganglioside induced differentiation associated protein 1(Gdap1)
ENSCGRG00001000201	100752648	Cricetulus griseus	follistatin like 5(Fstl5)
ENSCGRG00001002862	100750933	Cricetulus griseus	calumenin(Calu)
ENSCGRG00001021985	100760414	Cricetulus griseus	25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial(LOC100760414)
ENSCGRG00001020655	100753359	Cricetulus griseus	eukaryotic translation initiation factor 3 subunit L(Eif3l)
ENSCGRG00001000202	100769164	Cricetulus griseus	Scm polycomb group protein like 4(Scml4)
ENSCGRG00001002865	100754320	Cricetulus griseus	olfactory receptor 8K3(LOC100754320)
ENSCGRG00001021986	100753020	Cricetulus griseus	family with sequence similarity 167 member B(Fam167b)
ENSCGRG00001001534	100772680	Cricetulus griseus	POU domain, class 4, transcription factor 2(LOC100772680)
ENSCGRG00001020656	100769477	Cricetulus griseus	phosphatidylinositol glycan anchor biosynthesis class Q(Pigq)
ENSCGRG00001000203	100761903	Cricetulus griseus	Uncharacterized protein C1orf31-like(LOC100761903)
ENSCGRG00001021987	100771723	Cricetulus griseus	RBPJ interacting and tubulin associated 1(Rita1)
ENSCGRG00001018336	100767118	Cricetulus griseus	A-kinase anchoring protein 9(Akap9)
ENSCGRG00001021988	100754113	Cricetulus griseus	fibrous sheath interacting protein 2(Fsip2)
ENSCGRG00001019668	100763407	Cricetulus griseus	PWP1 homolog, endonuclein(Pwp1)
ENSCGRG00001020658	100752280	Cricetulus griseus	peptidylprolyl isomerase like 6(Ppil6)
ENSCGRG00001017004	100758855	Cricetulus griseus	PSMC3 interacting protein(Psmc3ip)
ENSCGRG00001019669	100773312	Cricetulus griseus	SATB homeobox 2(Satb2)
ENSCGRG00001020659	100758962	Cricetulus griseus	OS9 endoplasmic reticulum lectin(Os9)
ENSCGRG00001018338	100758030	Cricetulus griseus	parathyroid hormone like hormone(Pthlh)
ENSCGRG00001018337	100752861	Cricetulus griseus	tRNA methyltransferase 5(Trmt5)
ENSCGRG00001017006	100774702	Cricetulus griseus	serine/threonine/tyrosine kinase 1(Styk1)
ENSCGRG00001019667	100767856	Cricetulus griseus	tryptophanyl-tRNA synthetase 1(Wars1)
ENSCGRG00001001539	100759182	Cricetulus griseus	rhomboid 5 homolog 1(Rhbdf1)
ENSCGRG00001019664	100757293	Cricetulus griseus	F2R like thrombin or trypsin receptor 3(F2rl3)
ENSCGRG00001017000	100757433	Cricetulus griseus	endoglin(Eng)
ENSCGRG00001018334	100758301	Cricetulus griseus	LIF interleukin 6 family cytokine(Lif)
ENSCGRG00001017003	100757918	Cricetulus griseus	family with sequence similarity 199, X-linked(Fam199x)
ENSCGRG00001017002	100772168	Cricetulus griseus	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma(Pip5k1c)
ENSCGRG00001019663	100769350	Cricetulus griseus	proteasome 20S subunit alpha 7(Psma7)
ENSCGRG00001017008	100761334	Cricetulus griseus	unc-119 lipid binding chaperone(Unc119)
ENSCGRG00001001530	100751564	Cricetulus griseus	RRN3 homolog, RNA polymerase I transcription factor(Rrn3)
ENSCGRG00001020660	100759653	Cricetulus griseus	sulfiredoxin 1(Srxn1)
ENSCGRG00001002855	100753786	Cricetulus griseus	chromosome unknown C8orf74 homolog(CUNH8orf74)
ENSCGRG00001019672	100762331	Cricetulus griseus	GATA binding protein 2(Gata2)
ENSCGRG00001020662	100754178	Cricetulus griseus	chromodomain helicase DNA binding protein 4(Chd4)
ENSCGRG00001018341	100772345	Cricetulus griseus	vesicle trafficking 1(Vta1)
ENSCGRG00001017010	100772444	Cricetulus griseus	junctophilin 4(Jph4)
ENSCGRG00001001527	100766238	Cricetulus griseus	olfactory receptor 15(LOC100766238)
ENSCGRG00001020663	100769070	Cricetulus griseus	dopamine receptor D3(Drd3)
ENSCGRG00001018340	100762663	Cricetulus griseus	desmocollin 1(Dsc1)
ENSCGRG00001021994	100760938	Cricetulus griseus	protein NipSnap homolog 3B(LOC100760938)
ENSCGRG00001019670	100765705	Cricetulus griseus	consortin, connexin sorting protein(Cnst)
ENSCGRG00001001520	100755305	Cricetulus griseus	synaptotagmin 3(Syt3)
ENSCGRG00001020664	100765436	Cricetulus griseus	phosphodiesterase 9A(Pde9a)
ENSCGRG00001001521	100761298	Cricetulus griseus	nudix hydrolase 15(Nudt15)
ENSCGRG00001021997	103161033	Cricetulus griseus	zinc finger protein 205(Znf205)
ENSCGRG00001020667	100773378	Cricetulus griseus	RAB22A, member RAS oncogene family(Rab22a)
ENSCGRG00001002853	100773531	Cricetulus griseus	NADH-cytochrome b5 reductase 3(LOC100773531)
ENSCGRG00001020668	100759814	Cricetulus griseus	collagen type I alpha 1 chain(Col1a1)
