reaction	minimum	maximum
HKYNH: h2o_c + hLkynr_c --> 3hanthrn_c + ala_L_c	[1000.]	[0.]
r1823: ala_L_c + na1_e + pro_L_e --> ala_L_e + na1_c + pro_L_c	[1000.]	[0.]
KYN: Lkynr_c + h2o_c --> ala_L_c + anth_c + h_c	[1000.]	[0.]
r1920: ala_L_e + his_L_c + na1_e --> ala_L_c + his_L_e + na1_c	[1000.]	[0.]
r1563: ala_L_e + tyr_L_c <=> ala_L_c + tyr_L_e	[1000.]	[0.]
CYSTALArBATtc: Lcystin_e + ala_L_c --> Lcystin_c + ala_L_e	[1000.]	[-1000.]
r1808: ala_L_c + leu_L_e + na1_e --> ala_L_e + leu_L_c + na1_c	[1000.]	[0.]
r1570: ala_L_e + hom_L_c <=> ala_L_c + hom_L_e	[1000.]	[0.]
r1691: ala_L_e + na1_e + trp_L_c --> ala_L_c + na1_c + trp_L_e	[1000.]	[-1000.]
r1695: ala_L_e + leu_L_c + na1_e --> ala_L_c + leu_L_e + na1_c	[1000.]	[0.]
r2057: ala_L_c + citr_L_e --> ala_L_e + citr_L_c	[1000.]	[0.]
ASNALANaEx: ala_L_c + asn_L_e + na1_e --> ala_L_e + asn_L_c + na1_c	[1000.]	[0.]
r1561: ala_L_e + trp_L_c <=> ala_L_c + trp_L_e	[1000.]	[0.]
r1690: ala_L_e + met_L_c + na1_e --> ala_L_c + met_L_e + na1_c	[1000.]	[-1000.]
r1566: ala_L_e + pro_L_c <=> ala_L_c + pro_L_e	[1000.]	[0.]
r1898: ala_L_c + ile_L_e + na1_e --> ala_L_e + ile_L_c + na1_c	[1000.]	[-1000.]
RE1473C: ala_L_c + gthrd_c <=> CE0469_c + cgly_c	[1000.]	[0.]
r1921: ala_L_e + citr_L_c + na1_e --> ala_L_c + citr_L_e + na1_c	[1000.]	[-1000.]
ALAt4: ala_L_e + na1_e --> ala_L_c + na1_c	[1000.]	[0.]
r2009: ala_L_c + arg_L_e --> ala_L_e + arg_L_c	[1000.]	[0.]
ALAt2r: ala_L_e + h_e <=> ala_L_c + h_c	[1000.]	[0.]
r1571: ala_L_e + ile_L_c <=> ala_L_c + ile_L_e	[1000.]	[-1000.]
r1883: ala_L_c + hom_L_e + na1_e --> ala_L_e + hom_L_c + na1_c	[1000.]	[-1000.]
r1778: ala_L_c + na1_e + tyr_L_e --> ala_L_e + na1_c + tyr_L_c	[1000.]	[0.]
r0160: pyr_c + ser_L_c --> ala_L_c + hpyr_c	[1000.]	[0.]
ALACYSNaEx: ala_L_e + cys_L_c + na1_e --> ala_L_c + cys_L_e + na1_c	[1000.]	[0.]
r2041: ala_L_c + his_L_e --> ala_L_e + his_L_c	[1000.]	[0.]
r1562: ala_L_e + phe_L_c <=> ala_L_c + phe_L_e	[1000.]	[0.]
ALATHRNaEx: ala_L_e + na1_e + thr_L_c --> ala_L_c + na1_c + thr_L_e	[1000.]	[-1000.]
r1696: ala_L_e + na1_e + pro_L_c --> ala_L_c + na1_c + pro_L_e	[1000.]	[0.]
r1763: ala_L_c + na1_e + phe_L_e --> ala_L_e + na1_c + phe_L_c	[1000.]	[0.]
r1687: ala_L_e + gly_c + na1_e --> ala_L_c + gly_e + na1_c	[1000.]	[0.]
r1700: ala_L_e + hom_L_c + na1_e --> ala_L_c + hom_L_e + na1_c	[1000.]	[0.]
r1993: ala_L_c + lys_L_e --> ala_L_e + lys_L_c	[1000.]	[0.]
GPAT: gln_L_c + pyr_c --> 2oxgltrm_c + ala_L_c	[1000.]	[0.]
r1434: ala_L_c --> ala_L_m	[1000.]	[0.]
r1733: ala_L_c + met_L_e + na1_e --> ala_L_e + met_L_c + na1_c	[1000.]	[0.]
r1564: ala_L_e + cys_L_c <=> ala_L_c + cys_L_e	[1000.]	[0.]
r1565: ala_L_e + leu_L_c <=> ala_L_c + leu_L_e	[1000.]	[-1000.]
r1698: ala_L_e + na1_e + val_L_c --> ala_L_c + na1_c + val_L_e	[1000.]	[-1000.]
GGLUCT: gluala_e --> 5oxpro_c + ala_L_c	[1000.]	[0.]
SERALANaEx: ala_L_c + na1_e + ser_L_e --> ala_L_e + na1_c + ser_L_c	[1000.]	[0.]
ALATA_L: akg_c + ala_L_c <=> glu_L_c + pyr_c	[1000.]	[0.]
r1672: ala_L_c + gly_e + na1_e --> ala_L_e + gly_c + na1_c	[1000.]	[-1000.]
r1748: ala_L_c + na1_e + trp_L_e --> ala_L_e + na1_c + trp_L_c	[1000.]	[0.]
r1701: ala_L_e + ile_L_c + na1_e --> ala_L_c + ile_L_e + na1_c	[1000.]	[0.]
GapFill-R03599: focytC_m + selcys_c <=> ala_L_c + ficytC_m + seln_c	[1000.]	[0.]
ARGATB0tc: arg_L_e + cl_e + 2.0 na1_e --> arg_L_c + cl_c + 2.0 na1_c	[2.50111043e-12]	[-1000.]
ARGTRS: arg_L_c + atp_c + trnaarg_c --> amp_c + argtrna_c + ppi_c	[1000.]	[0.]
r2022: arg_L_e + hom_L_c --> arg_L_c + hom_L_e	[1000.]	[0.]
r2020: arg_L_e + val_L_c --> arg_L_c + val_L_e	[1000.]	[0.]
ARGt4: arg_L_e + na1_e --> arg_L_c + na1_c	[1000.]	[0.]
r2023: arg_L_e + ile_L_c --> arg_L_c + ile_L_e	[1000.]	[0.]
PHEyLATthc: arg_L_c + h_e + phe_L_e --> arg_L_e + h_c + phe_L_c	[1000.]	[0.]
r2014: arg_L_e + phe_L_c --> arg_L_c + phe_L_e	[1000.]	[0.]
GAUGE-R00558: arg_L_c + h_c + nadph_c + o2_c <=> h2o_r + nadp_c + nwharg_c	[1000.]	[0.]
ARGt5r: arg_L_e <=> arg_L_c	[1000.]	[-1000.]
r1933: arg_L_c + met_L_e + na1_e --> arg_L_e + met_L_c + na1_c	[1000.]	[-1000.]
METyLATthc: arg_L_c + h_e + met_L_e --> arg_L_e + h_c + met_L_c	[1000.]	[0.]
r1988: arg_L_c + ile_L_e + na1_e --> arg_L_e + ile_L_c + na1_c	[1000.]	[0.]
r2015: arg_L_e + tyr_L_c --> arg_L_c + tyr_L_e	[1000.]	[0.]
HISyLATtc: arg_L_c + his_L_e + na1_e --> arg_L_e + his_L_c + na1_c	[1000.]	[0.]
r1973: arg_L_c + na1_e + val_L_e --> arg_L_e + na1_c + val_L_c	[1000.]	[0.]
r1958: arg_L_c + leu_L_e + na1_e --> arg_L_e + leu_L_c + na1_c	[1000.]	[0.]
ARGtm: arg_L_c + h_m <=> arg_L_m + h_c	[1000.]	[0.]
HISyLATthc: arg_L_c + h_e + his_L_e --> arg_L_e + h_c + his_L_c	[1000.]	[-1000.]
r1943: arg_L_c + na1_e + phe_L_e --> arg_L_e + na1_c + phe_L_c	[1000.]	[0.]
ARGLYSex: arg_L_e + lys_L_c --> arg_L_c + lys_L_e	[1000.]	[0.]
GLNyLATthc: arg_L_c + gln_L_e + h_e --> arg_L_e + gln_L_c + h_c	[1000.]	[0.]
r2016: arg_L_e + cys_L_c --> arg_L_c + cys_L_e	[1000.]	[0.]
ARGSL: argsuc_c <=> arg_L_c + fum_c	[1000.]	[0.]
r1928: arg_L_c + na1_e + ser_L_e --> arg_L_e + na1_c + ser_L_c	[1000.]	[0.]
r1667: arg_L_e + orn_c <=> arg_L_c + orn_e	[1000.]	[0.]
r2399: arg_L_m + h_c + lys_L_c --> arg_L_c + h_m + lys_L_m	[1000.]	[-1000.]
NOS1: arg_L_c + h_c + nadph_c + o2_c --> h2o_c + nadp_c + nwharg_c	[1000.]	[0.]
r2404: arg_L_c + h_c + orn_m --> arg_L_m + h_m + orn_c	[1000.]	[0.]
r2017: arg_L_e + leu_L_c --> arg_L_c + leu_L_e	[1000.]	[0.]
r2407: arg_L_c + h_c + his_L_m --> arg_L_m + h_m + his_L_c	[1000.]	[0.]
ARGN: arg_L_c + h2o_c --> orn_c + urea_c	[1000.]	[0.]
r2008: arg_L_e + gly_c --> arg_L_c + gly_e	[1000.]	[0.]
r1668: arg_L_e + his_L_c <=> arg_L_c + his_L_e	[1000.]	[0.]
r2013: arg_L_e + trp_L_c --> arg_L_c + trp_L_e	[1000.]	[-1000.]
r1913: arg_L_c + gly_e + na1_e --> arg_L_e + gly_c + na1_c	[1000.]	[0.]
r2400: arg_L_m + h_c + orn_c --> arg_L_c + h_m + orn_m	[1000.]	[0.]
r2018: arg_L_e + pro_L_c --> arg_L_c + pro_L_e	[1000.]	[0.]
ARGTRAH: argtrna_c + h2o_c --> arg_L_c + h_c + trnaarg_c	[1000.]	[0.]
r1983: arg_L_c + hom_L_e + na1_e --> arg_L_e + hom_L_c + na1_c	[1000.]	[1.58346894e-12]
r2021: arg_L_e + thr_L_c --> arg_L_c + thr_L_e	[1000.]	[0.]
r1669: arg_L_e + citr_L_c <=> arg_L_c + citr_L_e	[1000.]	[0.]
r1968: arg_L_c + asn_L_e + na1_e --> arg_L_e + asn_L_c + na1_c	[1000.]	[-1000.]
LEUyLAThtc: arg_L_c + h_e + leu_L_e --> arg_L_e + h_c + leu_L_c	[1000.]	[0.]
GAUGE-R00557: 2.0 arg_L_c + 3.0 h_c + 3.0 nadph_c + 4.0 o2_c <=> 2.0 citr_L_c + 4.0 h2o_c + 3.0 nadp_c + 2.0 no_c	[1000.]	[0.]
r2011: arg_L_e + ser_L_c --> arg_L_c + ser_L_e	[1000.]	[-1000.]
GLYAMDTRc: arg_L_c + gly_c <=> gudac_c + orn_c	[1000.]	[0.]
r1923: arg_L_c + gln_L_e + na1_e --> arg_L_e + gln_L_c + na1_c	[1000.]	[-1000.]
r1953: arg_L_c + cys_L_e + na1_e --> arg_L_e + cys_L_c + na1_c	[1000.]	[0.]
r2019: arg_L_e + asn_L_c --> arg_L_c + asn_L_e	[1000.]	[0.]
r2401: arg_L_m + h_c + his_L_c --> arg_L_c + h_m + his_L_m	[1000.]	[0.]
GAUGE-R10107: arg_L_c + h_c + nadh_c + o2_c <=> h2o_c + nad_c + nwharg_c	[1000.]	[0.]
r1938: arg_L_c + na1_e + trp_L_e --> arg_L_e + na1_c + trp_L_c	[1000.]	[-1000.]
r1978: arg_L_c + na1_e + thr_L_e --> arg_L_e + na1_c + thr_L_c	[1000.]	[0.]
ARGt7l: arg_L_l --> arg_L_c	[1000.]	[0.]
r2010: arg_L_e + gln_L_c --> arg_L_c + gln_L_e	[0.]	[0.]
r1963: arg_L_c + na1_e + pro_L_e --> arg_L_e + na1_c + pro_L_c	[1000.]	[0.]
r2395: arg_L_c + h_c + lys_L_m --> arg_L_m + h_m + lys_L_c	[1000.]	[0.]
r2012: arg_L_e + met_L_c --> arg_L_c + met_L_e	[1000.]	[0.]
r2411: arg_L_c + citr_L_m + h_c --> arg_L_m + citr_L_c + h_m	[1000.]	[0.]
r1948: arg_L_c + na1_e + tyr_L_e --> arg_L_e + na1_c + tyr_L_c	[1000.]	[0.]
r2402: arg_L_m + citr_L_c + h_c --> arg_L_c + citr_L_m + h_m	[1000.]	[0.]
r1969: asn_L_e + na1_e + orn_c --> asn_L_c + na1_c + orn_e	[1000.]	[0.]
r1971: asn_L_e + citr_L_c + na1_e --> asn_L_c + citr_L_e + na1_c	[1000.]	[0.]
ASNtN1: asn_L_e + h_c + 2.0 na1_e <=> asn_L_c + h_e + 2.0 na1_c	[1000.]	[0.]
r1654: asn_L_e + thr_L_c <=> asn_L_c + thr_L_e	[1000.]	[-1000.]
r1643: asn_L_c + leu_L_e <=> asn_L_e + leu_L_c	[1000.]	[-1000.]
r1842: asn_L_e + na1_e + trp_L_c --> asn_L_c + na1_c + trp_L_e	[1000.]	[-1000.]
CYSASNNaEx: asn_L_c + cys_L_e + na1_e --> asn_L_e + cys_L_c + na1_c	[1000.]	[0.]
r2035: asn_L_c + orn_e --> asn_L_e + orn_c	[1000.]	[0.]
r1655: asn_L_e + hom_L_c <=> asn_L_c + hom_L_e	[1000.]	[0.]
r1682: asn_L_c + gly_e + na1_e --> asn_L_e + gly_c + na1_c	[1000.]	[-1000.]
RE2644C: CE1556_c + h2o_c <=> ac_c + asn_L_c	[1000.]	[0.]
r1832: asn_L_c + na1_e + pro_L_e --> asn_L_e + na1_c + pro_L_c	[0.]	[0.]
ASNGLNNaEx: asn_L_e + gln_L_c + na1_e --> asn_L_c + gln_L_e + na1_c	[1000.]	[0.]
r1817: asn_L_c + leu_L_e + na1_e --> asn_L_e + leu_L_c + na1_c	[1000.]	[0.]
r1843: asn_L_e + na1_e + phe_L_c --> asn_L_c + na1_c + phe_L_e	[1000.]	[0.]
ASNATB0tc: asn_L_e + cl_e + 2.0 na1_e --> asn_L_c + cl_c + 2.0 na1_c	[1000.]	[0.]
r1656: asn_L_e + ile_L_c <=> asn_L_c + ile_L_e	[1000.]	[0.]
r1787: asn_L_c + na1_e + tyr_L_e --> asn_L_e + na1_c + tyr_L_c	[1000.]	[-1000.]
r1580: asn_L_c + gln_L_e <=> asn_L_e + gln_L_c	[1000.]	[0.]
ASNN: asn_L_c + h2o_c --> asp_L_c + nh4_c	[1000.]	[-1000.]
r1841: asn_L_e + met_L_c + na1_e --> asn_L_c + met_L_e + na1_c	[1000.]	[0.]
ASNt7l: asn_L_l --> asn_L_c	[1000.]	[0.]
SERASNNaEx: asn_L_c + na1_e + ser_L_e --> asn_L_e + na1_c + ser_L_c	[0.]	[0.]
ASNSERNaEx: asn_L_e + na1_e + ser_L_c --> asn_L_c + na1_c + ser_L_e	[1000.]	[0.]
ASNTRS: asn_L_c + atp_c + trnaasn_c --> amp_c + asntrna_c + ppi_c	[1000.]	[0.]
r1844: asn_L_e + na1_e + tyr_L_c --> asn_L_c + na1_c + tyr_L_e	[1000.]	[2.45890471e-12]
r1757: asn_L_c + na1_e + trp_L_e --> asn_L_e + na1_c + trp_L_c	[1000.]	[0.]
r1851: asn_L_e + ile_L_c + na1_e --> asn_L_c + ile_L_e + na1_c	[1000.]	[0.]
r1648: asn_L_c + pro_L_e <=> asn_L_e + pro_L_c	[1000.]	[0.]
r1630: asn_L_c + tyr_L_e <=> asn_L_e + tyr_L_c	[1000.]	[-1000.]
r1967: asn_L_e + lys_L_c + na1_e --> asn_L_c + lys_L_e + na1_c	[1000.]	[-1000.]
r1742: asn_L_c + met_L_e + na1_e --> asn_L_e + met_L_c + na1_c	[1000.]	[0.]
r1637: asn_L_c + cys_L_e <=> asn_L_e + cys_L_c	[1000.]	[0.]
ASNCYSNaEx: asn_L_e + cys_L_c + na1_e --> asn_L_c + cys_L_e + na1_c	[1000.]	[-1000.]
ASNTRAH: asntrna_c + h2o_c --> asn_L_c + h_c + trnaasn_c	[1000.]	[0.]
ASNtm: asn_L_c --> asn_L_m	[1000.]	[0.]
r1592: asn_L_c + ser_L_e <=> asn_L_e + ser_L_c	[1000.]	[0.]
r1846: asn_L_e + leu_L_c + na1_e --> asn_L_c + leu_L_e + na1_c	[1000.]	[-1000.]
GLNASNNaEx: asn_L_c + gln_L_e + na1_e --> asn_L_e + gln_L_c + na1_c	[1000.]	[0.]
r2051: asn_L_c + his_L_e --> asn_L_e + his_L_c	[1000.]	[0.]
r2067: asn_L_c + citr_L_e --> asn_L_e + citr_L_c	[1000.]	[0.]
ASNPHELAT2tc: asn_L_e + phe_L_c <=> asn_L_c + phe_L_e	[1000.]	[0.]
THRASNNaEx: asn_L_c + na1_e + thr_L_e --> asn_L_e + na1_c + thr_L_c	[1000.]	[-1000.]
r1603: asn_L_c + met_L_e <=> asn_L_e + met_L_c	[1000.]	[0.]
r1653: asn_L_e + val_L_c <=> asn_L_c + val_L_e	[1000.]	[-1000.]
ASNTHRNaEx: asn_L_e + na1_e + thr_L_c --> asn_L_c + na1_c + thr_L_e	[1000.]	[-1000.]
r1863: asn_L_c + na1_e + val_L_e --> asn_L_e + na1_c + val_L_c	[1000.]	[0.]
r1772: asn_L_c + na1_e + phe_L_e --> asn_L_e + na1_c + phe_L_c	[1000.]	[0.]
r1848: asn_L_e + na1_e + val_L_c --> asn_L_c + na1_c + val_L_e	[1000.]	[0.]
r1970: asn_L_e + his_L_c + na1_e --> asn_L_c + his_L_e + na1_c	[1000.]	[0.]
r1613: asn_L_c + trp_L_e <=> asn_L_e + trp_L_c	[1000.]	[0.]
r1847: asn_L_e + na1_e + pro_L_c --> asn_L_c + na1_c + pro_L_e	[1000.]	[-1000.]
r1893: asn_L_c + hom_L_e + na1_e --> asn_L_e + hom_L_c + na1_c	[1000.]	[0.]
ASNt4: asn_L_e + na1_e --> asn_L_c + na1_c	[1000.]	[0.]
r1908: asn_L_c + ile_L_e + na1_e --> asn_L_e + ile_L_c + na1_c	[1000.]	[0.]
r1553: asn_L_c + gly_e <=> asn_L_e + gly_c	[1000.]	[0.]
r1850: asn_L_e + hom_L_c + na1_e --> asn_L_c + hom_L_e + na1_c	[1000.]	[-1000.]
ASNS1: asp_L_c + atp_c + gln_L_c + h2o_c --> amp_c + asn_L_c + glu_L_c + h_c + ppi_c	[1000.]	[0.]
r1837: asn_L_e + gly_c + na1_e --> asn_L_c + gly_e + na1_c	[1000.]	[0.]
r2532: asn_L_e <=> asn_L_c	[1000.]	[0.]
r2003: asn_L_c + lys_L_e --> asn_L_e + lys_L_c	[1000.]	[-1000.]
ASPTRS: asp_L_c + atp_c + trnaasp_c --> amp_c + asptrna_c + ppi_c	[1000.]	[0.]
ASPte: asp_L_c <=> asp_L_e	[1000.]	[0.]
3SALAASPm: 3sala_m + asp_L_c <=> 3sala_c + asp_L_m	[1000.]	[-1000.]
ASPt6: asp_L_e + h_e + k_c + 3.0 na1_e --> asp_L_c + h_c + k_e + 3.0 na1_c	[1.13686838e-13]	[-1000.]
ASPTRAH: asptrna_c + h2o_c --> asp_L_c + h_c + trnaasp_c	[1000.]	[0.]
ASPTA: akg_c + asp_L_c <=> glu_L_c + oaa_c	[1000.]	[8.51353671e-13]
ASPt7l: asp_L_l --> asp_L_c	[1000.]	[-1000.]
ASPGLUm: asp_L_m + glu_L_c + h_c <=> asp_L_c + glu_L_m + h_m	[0.]	[0.]
ASPDH: asp_L_c + h2o_c + nadp_c --> h_c + nadph_c + nh4_c + oaa_c	[1000.]	[-1000.]
r1143: asp_L_e + na1_e --> asp_L_c + na1_c	[1000.]	[0.]
ASPOX: asp_L_c + h2o_c + o2_c --> h2o2_c + nh4_c + oaa_c	[1000.]	[0.]
ASPCTr: asp_L_c + cbp_c <=> cbasp_c + h_c + pi_c	[1000.]	[0.]
ADSS: asp_L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c	[1000.]	[-1000.]
ARGSS: asp_L_c + atp_c + citr_L_c --> amp_c + argsuc_c + h_c + ppi_c	[1000.]	[0.]
ASPPROASCT1: asp_L_e + na1_e + pro_L_c --> asp_L_c + na1_c + pro_L_e	[1000.]	[0.]
ASP1DC: asp_L_c + h_c --> ala_B_c + co2_c	[1000.]	[0.]
ASPO2: asp_L_c + nad_c <=> 2.0 h_c + iasp_c + nadh_c	[1000.]	[0.]
PRASCS: 5aizc_c + asp_L_c + atp_c <=> 25aics_c + adp_c + h_c + pi_c	[0.]	[0.]
NACASPAH: Nacasp_c + h2o_c --> ac_c + asp_L_c	[1000.]	[-2.94770647e-12]
TYRTRS: atp_c + trnatyr_c + tyr_L_c --> amp_c + h_c + ppi_c + tyrtrna_c	[1000.]	[0.]
CHOLK: atp_c + chol_c --> adp_c + cholp_c + h_c	[1000.]	[0.]
r1518: atp_c + h2o_c + lnlc_c --> adp_c + h_c + lnlc_e + pi_c	[1000.]	[0.]
PI3P5K: atp_c + pail3p_cho_c --> adp_c + h_c + pail35p_cho_c	[1000.]	[0.]
PIK3: atp_c + pail_cho_c --> adp_c + h_c + pail3p_cho_c	[1000.]	[0.]
r0812: amp_x + atp_c <=> amp_c + atp_x	[1000.]	[0.]
RE3075C: CE2414_c + atp_c + coa_c <=> CE5122_c + amp_c + ppi_c	[1000.]	[-1000.]
AP4AH1: ap4a_c + h2o_c --> amp_c + atp_c + 2.0 h_c	[0.]	[0.]
PIK5: atp_c + pail_cho_c --> adp_c + h_c + pail5p_cho_c	[0.]	[0.]
AACOAT: acac_c + atp_c + coa_c --> aacoa_c + amp_c + ppi_c	[1000.]	[0.]
FACOAL2251: atp_c + coa_c + dcsptn1_c --> amp_c + dcsptn1coa_c + ppi_c	[1000.]	[0.]
PCYSPT: atp_c + pantylcys_c --> 4ppcys_c + adp_c + h_c	[1000.]	[0.]
THMATPe: atp_c + h2o_c + thm_c --> adp_c + h_c + pi_c + thm_e	[1000.]	[0.]
OCT11EFATP: atp_c + coa_c + vacc_e --> amp_c + ppi_c + vacccoa_c	[1000.]	[0.]
XYLK: atp_c + xylu_D_c --> adp_c + h_c + xu5p_D_c	[1000.]	[0.]
URIDK2: atp_c + dump_c <=> adp_c + dudp_c	[1000.]	[0.]
SELADT: atp_c + h_c + sel_c --> adsel_c + ppi_c	[1000.]	[-1000.]
AHANDROSTANGLCte: ahandrostanglc_c + atp_c + h2o_c --> adp_c + ahandrostanglc_e + h_c + pi_c	[0.]	[0.]
FPGS8: 10fthf5glu_c + atp_c + glu_L_c --> 10fthf6glu_c + adp_c + h_c + pi_c	[0.]	[0.]
DPMVDc: 5dpmev_c + atp_c --> adp_c + co2_c + ipdp_c + pi_c	[200.]	[0.]
PI5P4K: atp_c + pail5p_cho_c --> adp_c + h_c + pail45p_cho_c	[1000.]	[0.]
SADT: atp_c + h_c + so4_c --> aps_c + ppi_c	[1000.]	[0.]
r1521: atp_c + h2o_c + lnlnca_c --> adp_c + h_c + lnlnca_e + pi_c	[1000.]	[0.]
