NCBI GeneID	Symbol	Description
100689044	Ercc4	ERCC excision repair 4, endonuclease catalytic subunit
100689046	Top1	DNA topoisomerase I
100689050	Adapt15	hydrogen peroxide-induced mRNA
100689058	Rps2	ribosomal protein S2
100689060	Adsl	adenylosuccinate lyase
100689075	Cirbp	cold inducible RNA binding protein
100689081	Slc9a3r1	NHERF family PDZ scaffold protein 1
100689094	Slc31a1	solute carrier family 31 member 1
100689098	Mogs	mannosyl-oligosaccharide glucosidase
100689101	Ctps1	CTP synthase 1
100689189	P2ry2	purinergic receptor P2Y2
100689195	Sars1	seryl-tRNA synthetase 1
100689196	Xpa	XPA, DNA damage recognition and repair factor
100689197	Brca2	BRCA2 DNA repair associated
100689201	Ddrgk1	DDRGK domain containing 1
100689206	Trpc1	transient receptor potential cation channel subfamily C member 1
100689232	Cad	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase
100689242	Atp7a	ATPase copper transporting alpha
100689245	Pparg	peroxisome proliferator activated receptor gamma
100689281	Apex1	apurinic/apyrimidinic endodeoxyribonuclease 1
100689285	Tk1	thymidine kinase 1
100689293	Rps13	ribosomal protein S13
100689302	Pex19	peroxisomal biogenesis factor 19
100689304	Top2a	DNA topoisomerase II alpha
100689306	Xrcc5	X-ray repair cross complementing 5
100689307	Tmed2	transmembrane p24 trafficking protein 2
100689308	Hyou1	hypoxia up-regulated 1
100689315	Slc3a2	solute carrier family 3 member 2
100689317	Soat1	sterol O-acyltransferase 1
100689320	Slc9a1	solute carrier family 9 member A1
100689322	Slc35a1	solute carrier family 35 member A1
100689324	Rad51	RAD51 recombinase
100689329	Tlr4	toll like receptor 4
100689350	Hdac5	histone deacetylase 5
100689361	Ndufb11	NADH:ubiquinone oxidoreductase subunit B11
100689367	Ercc3	ERCC excision repair 3, TFIIH core complex helicase subunit
100689371	Bcl2l1	BCL2 like 1
100689403	Map2k1	mitogen-activated protein kinase kinase 1
100689405	Hspa9	heat shock protein family A (Hsp70) member 9
100689407	Slc19a1	solute carrier family 19 member 1
100689409	B2m	beta-2-microglobulin
100689412	Cope	COPI coat complex subunit epsilon
100689433	P4hb	prolyl 4-hydroxylase subunit beta
100689440	St3gal4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4
100689446	Gart	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
100689450	Gne	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase
100689464	Slc1a3	solute carrier family 1 member 3
100689465	Cep135	centrosomal protein 135
100689473	Hspd1	heat shock protein family D (Hsp60) member 1
100689474	Rcan1	regulator of calcineurin 1
100689475	Elk3	ETS transcription factor ELK3
100689476	Tcp1	t-complex 1
100751963	Lgals1	galectin 1
100752355	Kifc1	kinesin family member C1
100755703	Vkorc1	vitamin K epoxide reductase complex subunit 1
100756336	Atp11c	ATPase phospholipid transporting 11C
100757731	Akap7	A-kinase anchoring protein 7
100758493	Pola1	DNA polymerase alpha 1, catalytic subunit
100760162	Mgat5	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase
100760225	Asns	asparagine synthetase (glutamine-hydrolyzing)
100760699	Pla2g15	phospholipase A2 group XV
100761836	Ncstn	nicastrin
100763481	Hspb1	heat shock protein family B (small) member 1
100765665	Aprt	adenine phosphoribosyltransferase
100766716	Cdk1	cyclin dependent kinase 1
100767279	Yy1	YY1 transcription factor
100767723	Rars1	arginyl-tRNA synthetase 1
100768997	Prkaca	protein kinase cAMP-activated catalytic subunit alpha
100769040	Uba1	ubiquitin like modifier activating enzyme 1
100769217	Cldn6	claudin 6
100769490	Ppia	peptidylprolyl isomerase A
100774617	Brip1	BRCA1 interacting helicase 1
100774903	Mcm3	minichromosome maintenance complex component 3
100689036	Fut9	fucosyltransferase 9
100754392	Calb2	calbindin 2
100682526	Tuba1c	tubulin, alpha 1C
100682528	Tuba1b	tubulin, alpha 1B
100689020	Chcr2	carbonyl reductase 2
100689082	Xpr1	xenotropic and polytropic retrovirus receptor 1
100682534	Furin	furin, paired basic amino acid cleaving enzyme
100689033	Cyp2a14	Cytochrome P-450 2A14
100689035	Cyp2a15	cytochrome P450 2A15
100689274	Cenpb	centromere protein B
100689275	Cyp7a1	cytochrome P450, family 7, subfamily a, polypeptide 1
100689279	Rho	rhodopsin
100689301	Neu2	neuraminidase 2
100689314	Tst	thiosulfate sulfurtransferase
100689319	Hbb	beta major globin chain
100689365	Dph2	diphthamide biosynthesis 2
100689379	S100b	S100 calcium binding protein B
100689382	Slc35c1	solute carrier family 35 member C1
100689391	Cmah	cytidine monophospho-N-acetylneuraminic acid hydroxylase
100689396	Slc10a2	solute carrier family 10 member 2
100689401	Cdkn1b	cyclin dependent kinase inhibitor 1B
100689418	Fos	Fos proto-oncogene, AP-1 transcription factor subunit
100689419	B3gat3	beta-1,3-glucuronyltransferase 3
100689422	Plaur	plasminogen activator, urokinase receptor
100689427	Sat1	spermidine/spermine N1-acetyltransferase 1
100689430	B4galt1	beta-1,4-galactosyltransferase 1
100689470	Trf1	telomeric repeat binding factor 1
100689471	Htr2a	5-hydroxytryptamine receptor 2A
100754506	Cftr	CF transmembrane conductance regulator
100757057	Cd14	CD14 molecule
100758991	Paics	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase
100759619	Abcg1	ATP binding cassette subfamily G member 1
100760143	Gfra1	GDNF family receptor alpha 1
100761481	Kcnq1	potassium voltage-gated channel subfamily Q member 1
100766070	Ucn	urocortin
100767961	Cdc25a	cell division cycle 25A
100770686	Lyz	lysozyme
100771135	Trpv1	transient receptor potential cation channel subfamily V member 1
100771493	Enho	energy homeostasis associated
100774580	Egfr	epidermal growth factor receptor
100689053	Rps17	ribosomal protein S17
100682527	Tuba1a	tubulin, alpha 1A
100689019	Chcr1	carbonyl reductase 1
100689259	Rn28s1	28S ribosomal RNA
100736551	Adk	adenosine kinase
100689332	Prdx1	peroxiredoxin 1
102464901	Mir23b	microRNA mir-23b
102464913	Mir30c-2	microRNA mir-30c-2
100689059	Cxcl1	chemokine (C-X-C motif) ligand 1
100766119	Ywhaz	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
102466549	Mir377	microRNA mir-377
100689025	Slc20a1	solute carrier family 20 member 1
100689029	Lpin1	lipin 1
100689032	Bax	BCL2 associated X, apoptosis regulator
100689039	Cdk2	cyclin dependent kinase 2
100689042	Orc5	origin recognition complex subunit 5
100689043	Orc4	origin recognition complex subunit 4
100689057	Sdc1	syndecan 1
100689085	Mbtps2	membrane bound transcription factor peptidase, site 2
100689092	Bst2	bone marrow stromal cell antigen 2
100689106	Akr1a1	aldo-keto reductase family 1 member A1
100689219	Klc1	kinesin light chain 1
100689238	Aimp1	aminoacyl tRNA synthetase complex interacting multifunctional protein 1
100689240	Glg1	golgi glycoprotein 1
100689303	Pcyt1a	phosphate cytidylyltransferase 1A, choline
100689310	Eef1e1	eukaryotic translation elongation factor 1 epsilon 1
100689311	Gstp1	glutathione S-transferase, pi 1
100689316	Lamp2	lysosomal associated membrane protein 2
100689323	Fxr1	FMR1 autosomal homolog 1
100689334	Ext1	exostosin glycosyltransferase 1
100689342	Ly96	lymphocyte antigen 96
100689368	Bak1	BCL2 antagonist/killer 1
100689402	Sdhc	succinate dehydrogenase complex subunit C
100689406	Lamp1	lysosomal associated membrane protein 1
100689457	Mppe1	metallophosphoesterase 1
100689459	Cenpa	centromere protein A
100689467	Pgk1	phosphoglycerate kinase 1
100736552	Scarb1	scavenger receptor class B member 1
100736556	Pex7	peroxisomal biogenesis factor 7
100754156	Polr2f	RNA polymerase II, I and III subunit F
100754755	Hmgb1	high mobility group box 1
100759663	Ice2	interactor of little elongation complex ELL subunit 2
100759777	C1s	complement C1s
100760258	Pdgfra	platelet derived growth factor receptor alpha
100760367	Osbp	oxysterol binding protein
100764294	Pten	phosphatase and tensin homolog
100768476	C1r	complement C1r
100768617	Manf	mesencephalic astrocyte derived neurotrophic factor
100769908	Atp13a3	ATPase 13A3
100770842	Ccnb1	cyclin B1
100771396	Skp2	S-phase kinase associated protein 2
100773919	Dst	dystonin
100774910	Ampd2	adenosine monophosphate deaminase 2
103160601	Cdkn1a	cyclin dependent kinase inhibitor 1A
100752558	Nup214	nucleoporin 214
100689018	Srebf1	sterol regulatory element binding transcription factor 1
100689022	Fpgs	folylpolyglutamate synthase
100689027	Col7a1	collagen type VII alpha 1 chain
100689031	Slc35a2	solute carrier family 35 member A2
100689076	Mgat3	beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase
100689233	Csr1	uncharacterized LOC100689233
100689328	Ndufa1	NADH:ubiquinone oxidoreductase subunit A1
100689383	Pdpn	podoplanin
100689386	Atf4	activating transcription factor 4
100689447	Ankrd1	ankyrin repeat domain 1
100689454	Pgap3	post-GPI attachment to proteins phospholipase 3
100689466	Taf7	TATA-box binding protein associated factor 7
100689468	Gpi	glucose-6-phosphate isomerase
100750382	Axin2	axin 2
100754574	Arrb1	arrestin beta 1
100756420	Map2	microtubule associated protein 2
100765648	Dph1	diphthamide biosynthesis 1
100769198	Abcc9	ATP binding cassette subfamily C member 9
100770792	Claudin-4	claudin-4
100771184	Sfrp2	secreted frizzled related protein 2
100771475	Tlr2	toll like receptor 2
100772552	Ace2	angiotensin converting enzyme 2
100689063	Ccnd1	cyclin D1
100689089	Tubb4b	tubulin beta 4B class IVb
100689186	Il6	interleukin 6
100689205	Srrt	serrate, RNA effector molecule
100689217	St8sia4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4
100689218	Trpc2	transient receptor potential cation channel, subfamily C, member 2
100689243	Cdc6	cell division cycle 6
100689246	Bsg	basigin (Ok blood group)
100689313	Sec22b	SEC22 homolog B, vesicle trafficking protein
100689339	Dbf4	DBF4 zinc finger
100689346	B4galt3	beta-1,4-galactosyltransferase 3
100689352	Mad1l1	mitotic arrest deficient 1 like 1
100689360	Slc25a32	solute carrier family 25 member 32
100689369	Casp8	caspase 8
100689385	Pgap2	post-GPI attachment to proteins 2
100689394	Slc35a3	solute carrier family 35 member A3
100689400	Fau	FAU ubiquitin like and ribosomal protein S30 fusion
100689413	Stip1	stress induced phosphoprotein 1
100689434	B4galt2	beta-1,4-galactosyltransferase 2
100689435	B4galt4	beta-1,4-galactosyltransferase 4
100736553	Efemp2	EGF containing fibulin extracellular matrix protein 2
100750706	Xrcc2	X-ray repair cross complementing 2
100761759	Fbxw7	F-box and WD repeat domain containing 7
100764282	Lgals8	galectin 8
100766494	Sumf1	sulfatase modifying factor 1
100770757	Npc2	NPC intracellular cholesterol transporter 2
118237651	Birc5	baculoviral IAP repeat containing 5
100689038	Cert1	ceramide transporter 1
100689052	Myl6	myosin light chain 6
100689055	Lrrfip1	LRR binding FLII interacting protein 1
100689102	Fth1	ferritin heavy chain 1
100689287	Cbx5	chromobox 5
100689359	Cbx1	chromobox 1
100689362	Cdc45	cell division cycle 45
100689387	Gphr	golgi pH regulator
100689415	Sptlc2	serine palmitoyltransferase long chain base subunit 2
100689443	Cbx3	chromobox 3
100755121	Rnaset2	ribonuclease T2
100762999	Hectd1	HECT domain E3 ubiquitin protein ligase 1
100772298	Rpl7a	ribosomal protein L7a
100689256	Znf330	zinc finger protein 330
100689416	Layn	layilin
100759514	Mapk1	mitogen-activated protein kinase 1
100760101	Ppil2	peptidylprolyl isomerase like 2
100682535	Abcb4	ATP-binding cassette, sub-family B (MDR/TAP), member 4
100689083	Fut6b	alpha (1,3) fucosyltransferase 6B
100689084	Fut6a	alpha (1,3) fucosyltransferase 6A
100689209	Trpc3	transient receptor potential cation channel subfamily C member 3
100689250	Aicda	activation induced cytidine deaminase
100689260	Rn18s	18S ribosomal RNA
100689261	Rn5-8s	5.8S ribosomal RNA
100689278	Fut	alpha(1,3)fucosyltransferase
100689363	Tubb6	tubulin beta 6 class V
100689370	Casp9	caspase 9
100689374	Xiap	X-linked inhibitor of apoptosis
100689377	Ercc1	ERCC excision repair 1, endonuclease non-catalytic subunit
100689445	Casp2	caspase 2
100689481	Cstr2	tRNA-Sec pseudogene 1
100689482	Cstr4	tRNA-Sec pseudogene 3
100689483	Cstr3	tRNA-Sec pseudogene 2
100750798	Agtr1	angiotensin II receptor type 1
100755406	Ap2a2	adaptor related protein complex 2 subunit alpha 2
100766091	Comp	cartilage oligomeric matrix protein
100769566	Vgf	VGF nerve growth factor inducible
100769981	Slc9a7	solute carrier family 9 member A7
100770387	Trpc4	transient receptor potential cation channel subfamily C member 4
100774176	Ednra	endothelin receptor type A
100689095	Dnase1l1	deoxyribonuclease 1 like 1
100689191	Lpl	lipoprotein lipase
100689192	Fdft1	farnesyl-diphosphate farnesyltransferase 1
100689199	Acox1	acyl-CoA oxidase 1
100689207	Fasn	fatty acid synthase
100689253	Rarres2	retinoic acid receptor responder 2
100689333	Orc2	origin recognition complex subunit 2
100689425	Orc1	origin recognition complex subunit 1
100759766	Timm10b	translocase of inner mitochondrial membrane 10B
100761508	Vcam1	vascular cell adhesion molecule 1
100762904	Acaca	acetyl-CoA carboxylase alpha
100766229	Btg2	BTG anti-proliferation factor 2
100769827	Nup107	nucleoporin 107
100689183	S1pr2	sphingosine-1-phosphate receptor 2
100689380	Pigu	phosphatidylinositol glycan anchor biosynthesis class U
100757522	Lpar1	lysophosphatidic acid receptor 1
100689105	Sumo2	small ubiquitin like modifier 2
100689455	Fis1	fission, mitochondrial 1
100757677	Skp1	S-phase kinase associated protein 1
100757763	Cul1	cullin 1
100689267	Ubc	ubiquitin C
100689271	Snord14e	small nucleolar RNA, C/D box 14E
100689312	Gosr1	golgi SNAP receptor complex member 1
100760810	Ppp1ca	protein phosphatase 1 catalytic subunit alpha
100689177	Coro7	coronin 7
100689203	Psmc3	proteasome 26S subunit, ATPase 3
100689224	Eif6	eukaryotic translation initiation factor 6
100689230	Dnajc10	DnaJ heat shock protein family (Hsp40) member C10
100754380	Atp5mc3	ATP synthase membrane subunit c locus 3
100758773	Ssrp1	structure specific recognition protein 1
100766376	Anapc5	anaphase promoting complex subunit 5
100767226	Dennd5a	DENN domain containing 5A
107977060	Pam16	presequence translocase associated motor 16
100689193	Pde1b	phosphodiesterase 1B
100689288	Ear10	eosinophil-associated, ribonuclease A family, member 10
100689289	Ear11	eosinophil-associated, ribonuclease A family, member 11
100689290	Ear15	eosinophil-associated ribonuclease 15
100689291	Ear7	eosinophil-associated, ribonuclease A family, member 7
100689351	Slc1a4	solute carrier family 1 member 4
100689364	Cyren	cell cycle regulator of NHEJ
100689484	Ear30	Ear7 pseudogene
100769325	Sos2	SOS Ras/Rho guanine nucleotide exchange factor 2
100689079	Insig2	insulin induced gene 2
100689080	Insig1	insulin induced gene 1
100689451	Dpm3	dolichyl-phosphate mannosyltransferase subunit 3, regulatory
100774705	Apoc3	apolipoprotein C3
100689077	Gja1	gap junction protein alpha 1
100765420	Gjb3	gap junction protein beta 3
100770669	Oaz3	ornithine decarboxylase antizyme 3
100689182	S1pr3	sphingosine-1-phosphate receptor 3
100689184	S1pr5	sphingosine-1-phosphate receptor 5
100689198	S1pr1	sphingosine-1-phosphate receptor 1
100753903	Lpar2	lysophosphatidic acid receptor 2
100759265	Lpar3	lysophosphatidic acid receptor 3
100757071	Eogt	EGF domain specific O-linked N-acetylglucosamine transferase
100762647	Fbxo2	F-box protein 2
100758056	Fpr1	formyl peptide receptor 1
100754276	Tyms	thymidylate synthetase
100754722	Ppfibp1	PPFIA binding protein 1
100756764	Mfn1	mitofusin 1
100758545	Saraf	store-operated calcium entry associated regulatory factor
100760896	Vps53	VPS53 subunit of GARP complex
100760956	Pfas	phosphoribosylformylglycinamidine synthase
100763346	Usp9x	ubiquitin specific peptidase 9 X-linked
100767755	Elp1	elongator acetyltransferase complex subunit 1
100770326	Vps16	VPS16 core subunit of CORVET and HOPS complexes
100772415	Noc2l	NOC2 like nucleolar associated transcriptional repressor
100774247	Las1l	LAS1 like ribosome biogenesis factor
114482857	Mir200a	microRNA mir-200a
114482858	Mirlet7a-2	microRNA let-7a-2
114482893	Mirlet7c-2	microRNA let-7c-2
114482899	Mirlet7e	microRNA let-7e
114482912	Mir217	microRNA mir-217
114482924	Mir26a-1	microRNA mir-26a-1
114482925	Mir301b	microRNA mir-301b
114482932	Mir3154	microRNA mir-3154
114482939	Mir451a	microRNA mir-451a
114483004	Mir574	microRNA mir-574
114483011	Mir101a	microRNA mir-101a
114483014	Mir1224	microRNA mir-1224
114483017	Mir1249	microRNA mir-1249
114483020	Mir126b	microRNA mir-126b
114483021	Mir127	microRNA mir-127
114483024	Mir150	microRNA mir-150
114483028	Mir16-2	microRNA mir-16-2
114483032	Mir199a-2	microRNA mir-199a-2
114483037	Mir1b	microRNA mir-1b
114483044	Mir211	microRNA mir-211
114483045	Mir216b	microRNA mir-216b
114483053	Mir3068	microRNA mir-3068
114483056	Mir3074-2	microRNA mir-3074-2
114483057	Mir3074-1	microRNA mir-3074-1
114483061	Mir30c-1	microRNA mir-30c-1
114483089	Mir3102	microRNA mir-3102
114483095	Mir3535	microRNA mir-3535
114483104	Mir760	microRNA mir-760
114483105	Mir99b	microRNA mir-99b
114483110	Mir128-2	microRNA mir-128-2
114483115	Mir802	microRNA mir-802
114483120	Mir18b	microRNA mir-18b
114483125	Mir20b	microRNA mir-20b
114483233	Mir219b	microRNA mir-219b
114483676	Mir449a	microRNA mir-449a
114483698	Mir125b-2	microRNA mir-125b-2
114483699	Mir29b-2	microRNA mir-29b-2
114483705	Mir193a	microRNA mir-193a
114483708	Mir202	microRNA mir-202
114483711	Mir24-1	microRNA mir-24-1
114483733	Mir330	microRNA mir-330
114483772	Mir148a	microRNA mir-148a
114483775	Mir365-2	microRNA mir-365-2
114483816	Mir194-2	microRNA mir-194-2
114483827	Mir497b	microRNA mir-497b
100774224	Azin1	antizyme inhibitor 1
100689068	Gnai2	G protein subunit alpha i2
100689072	Gnai3	G protein subunit alpha i3
100689336	Mmp14	matrix metallopeptidase 14
100689432	Ugcg	UDP-glucose ceramide glucosyltransferase
100689442	Gnb1	G protein subunit beta 1
100750331	Gtf2a2	general transcription factor IIA subunit 2
100750612	Rpl22l1	ribosomal protein L22 like 1
100751290	Hnrnpc	heterogeneous nuclear ribonucleoprotein C
100751347	Pkm	pyruvate kinase M1/2
100751353	Sel1l	SEL1L adaptor subunit of ERAD E3 ubiquitin ligase
100751694	Ywhaq	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta
100752084	Stt3b	STT3 oligosaccharyltransferase complex catalytic subunit B
100752292	Ctdspl2	CTD small phosphatase like 2
100752851	Epha2	EPH receptor A2
100753021	Cav1	caveolin 1
100753083	Arhgef17	Rho guanine nucleotide exchange factor 17
100753545	Eef1g	eukaryotic translation elongation factor 1 gamma
100753646	Taf1d	TATA-box binding protein associated factor, RNA polymerase I subunit D
100753860	Rps12	ribosomal protein S12
100754397	Cd276	CD276 molecule
100754413	Rab5c	RAB5C, member RAS oncogene family
100755507	Nedd4	NEDD4 E3 ubiquitin protein ligase
100755581	Tcea1	transcription elongation factor A1
100755683	Cep295	centrosomal protein 295
100757188	Src	SRC proto-oncogene, non-receptor tyrosine kinase
100757209	Hip1	huntingtin interacting protein 1
100757331	Cpd	carboxypeptidase D
100757453	Nono	non-POU domain containing octamer binding
100757531	Ppp4r1	protein phosphatase 4 regulatory subunit 1
100757536	Gng12	G protein subunit gamma 12
100757833	Tmbim6	transmembrane BAX inhibitor motif containing 6
100757844	Sec24c	SEC24 homolog C, COPII coat complex component
100758070	Cyld	CYLD lysine 63 deubiquitinase
100758228	Ppp4r2	protein phosphatase 4 regulatory subunit 2
100758250	Ndrg1	N-myc downstream regulated 1
100758434	Erh	ERH mRNA splicing and mitosis factor
100758514	Copb2	COPI coat complex subunit beta 2
100758627	Chchd1	coiled-coil-helix-coiled-coil-helix domain containing 1
100758811	Cpsf3	cleavage and polyadenylation specific factor 3
100759016	Ssr3	signal sequence receptor subunit 3
100759022	Katna1	katanin catalytic subunit A1
100759064	Myo1c	myosin IC
100759203	Aco2	aconitase 2
100759613	Tmed10	transmembrane p24 trafficking protein 10
100759640	Tmpo	thymopoietin
100759793	Mtmr11	myotubularin related protein 11
100759816	Ip6k2	inositol hexakisphosphate kinase 2
100759841	Abhd17c	abhydrolase domain containing 17C, depalmitoylase
100760539	Anxa2	annexin A2
100760550	Impdh1	inosine monophosphate dehydrogenase 1
100760832	Ncor1	nuclear receptor corepressor 1
100761146	Tpm4	tropomyosin 4
100761520	Rab34	RAB34, member RAS oncogene family
100761732	Apeh	acylaminoacyl-peptide hydrolase
100761749	Supt5h	SPT5 homolog, DSIF elongation factor subunit
100761778	Cnot1	CCR4-NOT transcription complex subunit 1
100762124	Copa	COPI coat complex subunit alpha
100762629	Immt	inner membrane mitochondrial protein
100762896	Kpnb1	karyopherin subunit beta 1
100763316	Nap1l1	nucleosome assembly protein 1 like 1
100763681	Ptcd3	pentatricopeptide repeat domain 3
100763870	Psip1	PC4 and SRSF1 interacting protein 1
100764133	Ddb1	damage specific DNA binding protein 1
100764307	Ddx3x	DEAD-box helicase 3 X-linked
100764884	Adgrg1	adhesion G protein-coupled receptor G1
100765281	Calm2	calmodulin 2
100765379	Rasa2	RAS p21 protein activator 2
100765702	Usp25	ubiquitin specific peptidase 25
100765792	Vdac1	voltage dependent anion channel 1
100766030	Pcbp2	poly(rC) binding protein 2
100766104	Snapc3	small nuclear RNA activating complex polypeptide 3
100766549	Tmem33	transmembrane protein 33
100766687	Pdia6	protein disulfide isomerase family A member 6
100766736	Dnaja2	DnaJ heat shock protein family (Hsp40) member A2
100766921	Fkbp11	FKBP prolyl isomerase 11
100766983	Drosha	drosha ribonuclease III
100767392	Tsr1	TSR1 ribosome maturation factor
100767942	Hnrnpu	heterogeneous nuclear ribonucleoprotein U
100767984	Thoc6	THO complex subunit 6
100768172	Ube2j2	ubiquitin conjugating enzyme E2 J2
100768210	Cand1	cullin associated and neddylation dissociated 1
100768235	Kpna2	karyopherin subunit alpha 2
100768627	Ubn2	ubinuclein 2
100768837	Rab5b	RAB5B, member RAS oncogene family
100768993	Plod3	procollagen-lysine,2-oxoglutarate 5-dioxygenase 3
100769922	Arf4	ADP ribosylation factor 4
100769956	Pgrmc1	progesterone receptor membrane component 1
100770006	Mcm7	minichromosome maintenance complex component 7
100770561	Cct7	chaperonin containing TCP1 subunit 7
100770609	Rab18	RAB18, member RAS oncogene family
100771199	Mbnl1	muscleblind like splicing regulator 1
100771288	Ryk	receptor like tyrosine kinase
100771378	Atp1a1	ATPase Na+/K+ transporting subunit alpha 1
100771384	S100a6	S100 calcium binding protein A6
100771661	Idh3b	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta
100771954	Nop56	NOP56 ribonucleoprotein
100772768	Kctd5	potassium channel tetramerization domain containing 5
100772915	Lman2	lectin, mannose binding 2
100773097	Nsd3	nuclear receptor binding SET domain protein 3
100773230	Rps16	ribosomal protein S16
100773369	Psmd11	proteasome 26S subunit, non-ATPase 11
100774203	Copb1	COPI coat complex subunit beta 1
100774500	Rpl18	ribosomal protein L18
100774503	Eif1b	eukaryotic translation initiation factor 1B
100774513	Cops6	COP9 signalosome subunit 6
100774583	Kirrel1	kirre like nephrin family adhesion molecule 1
100774596	Amd1	adenosylmethionine decarboxylase 1
103159665	Rpl39	ribosomal protein L39
103160089	C2H18orf32	chromosome 2 C18orf32 homolog
103160894	Ptges3l	prostaglandin E synthase 3 like
105349233	Synb	syncytin b
