Reaction,Min,Max
biomass_cho_prod,0.0,189.68349412170852
r0013,0.0,1000.0
r0034,0.0,1000.0
r0074,0.0,1000.0
r0081,-1000.0,1000.0
r0082,-1000.0,1000.0
r0083,-1000.0,1000.0
r0084,-1000.0,1000.0
r0113,0.0,1000.0
r0122,0.0,1000.0
r0153,0.0,1000.0
r0163,0.0,1000.0
r0165,0.0,1000.0
r0173,-1000.0,1000.0
r0191,0.0,1000.0
r0202,-1000.0,1000.0
r0205,0.0,1000.0
r0249,-1000.0,1000.0
r0280,0.0,1000.0
r0354,0.0,1000.0
r0355,0.0,1000.0
r0383,0.0,1000.0
r0413,0.0,1000.0
r0425,-1000.0,1000.0
r0509,0.0,1000.0
r0555,0.0,1000.0
r0556,-1000.0,0.0
r0570,-1000.0,1000.0
r0620,0.0,1000.0
r0784,-1000.0,1000.0
r0796,0.0,1000.0
r1109,0.0,1000.0
r1374,0.0,666.6666666666666
r1391,0.0,445.5445544554455
r1392,0.0,445.5445544554455
ACACT1x,0.0,1000.0
C14STRr,-1000.0,1000.0
C3STDH1Pr,-1000.0,222.22222222222223
C3STDH1r,0.0,1000.0
C3STKR2r,0.0,222.22222222222223
C4STMO1r,0.0,222.22222222222223
C4STMO2Pr,0.0,222.22222222222226
C4STMO2r,0.0,222.22222222222226
CHOLESACATc,0.0,1000.0
DHCR241r,0.0,1000.0
DHCR242r,0.0,1000.0
DHCR243r,0.0,222.22222222222217
DHCR71r,0.0,222.2222222222222
DHCR72r,0.0,1000.0
DMATT,0.0,1000.0
DMATTx,0.0,833.3333333333333
DPMVDc,0.0,1000.0
DPMVDx,0.0,666.6666666666667
DSREDUCr,0.0,222.22222222222223
EBP1r,0.0,1000.0
EBP2r,-1000.0,1000.0
GAUGE-R02003,-1000.0,1000.0
GAUGE-R09248,-1000.0,1000.0
GAUGE-R09251,-1000.0,1000.0
GRTT,0.0,1000.0
GRTTx,0.0,1000.0
GapFill-R07507,-1000.0,277.7777777777777
HMGCOARc,-1000.0,1000.0
HMGCOARr,0.0,0.0
HMGCOARx,0.0,1000.0
HMGCOASi,0.0,1000.0
HMGCOASim,0.0,1000.0
HMGL,0.0,1000.0
HMGLm,0.0,1000.0
HMGLr,0.0,0.0
HMGLx,0.0,1000.0
HMR_1465,-277.77777777777777,0.0
HMR_1467,0.0,277.77777777777777
HMR_1470,0.0,277.77777777777777
HMR_1473,0.0,277.77777777777777
HMR_1477,0.0,277.77777777777777
HMR_1478,0.0,277.7777777777777
HMR_1479,0.0,277.7777777777777
HMR_1484,0.0,277.7777777777777
HMR_1490,0.0,277.77777777777777
HMR_1493,0.0,277.7777777777777
HMR_1494,0.0,277.77777777777777
HMR_1495,0.0,277.7777777777778
HMR_1496,0.0,277.7777777777778
HMR_1500,0.0,277.7777777777778
HMR_1502,0.0,277.77777777777777
HMR_1503,0.0,277.77777777777777
HMR_1504,0.0,277.77777777777777
HMR_1505,0.0,277.77777777777777
HMR_1509,0.0,277.77777777777777
HMR_1512,0.0,277.77777777777777
HMR_1516,0.0,277.77777777777777
HMR_1526,0.0,1000.0
HMR_1536,0.0,0.0
HMR_1538,0.0,0.0
HMR_1539,0.0,0.0
HMR_1540,0.0,0.0
HMR_1543,0.0,0.0
HMR_1544,0.0,0.0
HMR_1545,0.0,0.0
HMR_1546,0.0,0.0
HMR_1547,0.0,0.0
HMR_1548,0.0,0.0
HMR_1549,0.0,0.0
HMR_1550,0.0,0.0
HMR_1551,0.0,0.0
HMR_1552,0.0,0.0
HMR_1557,0.0,1000.0
HMR_1558,-1000.0,0.0
HMR_1565,0.0,1000.0
HMR_3538,0.0,0.0
HMR_3539,0.0,0.0
HMR_3540,0.0,0.0
HMR_3541,0.0,0.0
HMR_3542,0.0,0.0
HMR_3543,0.0,0.0
HMR_3544,0.0,0.0
HMR_3546,0.0,0.0
HMR_3547,0.0,0.0
HMR_3548,0.0,0.0
HMR_3549,0.0,0.0
HMR_3550,0.0,0.0
HMR_3553,0.0,0.0
HMR_3555,0.0,0.0
HMR_3556,0.0,0.0
HMR_3557,0.0,0.0
HMR_3558,0.0,0.0
HMR_3559,0.0,0.0
HMR_3560,0.0,0.0
HMR_3561,0.0,0.0
HMR_3562,0.0,0.0
HMR_3563,0.0,0.0
HMR_3564,0.0,0.0
HMR_3565,0.0,0.0
HMR_3566,0.0,0.0
HMR_3567,0.0,0.0
HMR_3568,0.0,0.0
HMR_3569,0.0,0.0
HMR_3570,0.0,0.0
HMR_3571,0.0,0.0
HMR_3572,0.0,0.0
HMR_3573,0.0,0.0
HMR_3574,0.0,0.0
HMR_3575,0.0,0.0
HMR_3576,0.0,0.0
HMR_3578,0.0,0.0
HMR_3579,0.0,0.0
HMR_3580,0.0,0.0
HMR_3582,0.0,0.0
HMR_3583,0.0,0.0
HMR_3584,0.0,0.0
HMR_3585,0.0,0.0
HMR_3587,0.0,0.0
HMR_3588,0.0,0.0
HMR_3590,0.0,0.0
HMR_3591,0.0,0.0
HMR_3592,0.0,0.0
HMR_3593,0.0,0.0
HMR_3594,0.0,0.0
HMR_3595,0.0,0.0
HMR_3596,0.0,0.0
HMR_3625,0.0,1000.0
HMR_3626,0.0,1000.0
HMR_3627,0.0,1000.0
HMR_3628,0.0,1000.0
HMR_3629,0.0,1000.0
HMR_3630,0.0,1000.0
HMR_3631,0.0,1000.0
HMR_3633,0.0,1000.0
HMR_3635,0.0,1000.0
HMR_3636,0.0,1000.0
HMR_3637,0.0,1000.0
HMR_3639,0.0,1000.0
HMR_3640,0.0,1000.0
HMR_3642,0.0,1000.0
HMR_3643,0.0,0.0
HMR_3644,0.0,1000.0
HMR_3645,0.0,1000.0
HMR_3646,0.0,1000.0
HMR_3647,0.0,1000.0
HMR_3648,0.0,1000.0
HMR_3649,0.0,1000.0
HMR_3650,0.0,1000.0
HMR_3651,0.0,1000.0
HMR_3652,0.0,1000.0
HMR_3653,0.0,1000.0
HMR_3654,0.0,1000.0
HMR_3655,0.0,1000.0
HMR_3656,0.0,1000.0
HMR_3657,0.0,1000.0
HMR_3658,0.0,1000.0
HMR_3659,0.0,1000.0
HMR_3660,0.0,1000.0
HMR_3662,0.0,1000.0
HMR_3663,0.0,1000.0
HMR_3664,0.0,1000.0
HMR_3665,0.0,1000.0
HMR_3666,0.0,1000.0
HMR_3667,0.0,1000.0
HMR_3668,0.0,1000.0
HMR_3669,0.0,1000.0
HMR_3670,0.0,1000.0
HMR_3671,0.0,0.0
HMR_3672,0.0,0.0
HMR_3675,0.0,1000.0
HMR_3677,0.0,1000.0
HMR_3678,0.0,1000.0
HMR_3679,0.0,1000.0
HMR_3680,0.0,1000.0
HMR_3681,0.0,1000.0
HMR_3682,0.0,1000.0
HMR_3683,0.0,0.0
HMR_3684,0.0,1000.0
HMR_3685,0.0,1000.0
HMR_3686,0.0,1000.0
HMR_3687,0.0,1000.0
HMR_3688,0.0,1000.0
HMR_3689,0.0,1000.0
HMR_3690,0.0,1000.0
HMR_3692,0.0,1000.0
HMR_3694,0.0,1000.0
HMR_3695,0.0,1000.0
HMR_3696,0.0,1000.0
HMR_3698,0.0,1000.0
HMR_3699,0.0,1000.0
HMR_3701,0.0,1000.0
HMR_3702,0.0,0.0
HMR_3703,0.0,1000.0
HMR_3704,0.0,1000.0
HMR_3705,0.0,1000.0
HMR_3706,0.0,1000.0
HMR_3707,0.0,1000.0
HMR_3708,0.0,1000.0
HMR_3709,0.0,1000.0
HMR_3710,0.0,1000.0
HMR_3711,0.0,1000.0
HMR_3712,0.0,1000.0
HMR_3713,0.0,1000.0
HMR_3714,0.0,1000.0
HMR_3715,0.0,1000.0
HMR_3716,0.0,1000.0
HMR_3717,0.0,1000.0
HMR_3718,0.0,1000.0
HMR_3719,0.0,1000.0
HMR_3721,0.0,1000.0
HMR_3722,0.0,1000.0
HMR_3723,0.0,1000.0
HMR_3724,0.0,1000.0
HMR_3725,0.0,1000.0
HMR_3726,0.0,1000.0
HMR_3727,0.0,1000.0
HMR_3728,0.0,1000.0
HMR_3729,0.0,1000.0
HMR_3730,0.0,0.0
HMR_3731,0.0,0.0
HMR_3734,0.0,1000.0
HMR_3736,0.0,1000.0
HMR_3737,0.0,1000.0
HMR_3738,0.0,1000.0
HMR_3739,0.0,1000.0
HMR_3740,0.0,1000.0
HMR_3741,0.0,1000.0
HMR_3742,0.0,0.0
IPDDI,-1000.0,1000.0
IPDDIx,0.0,833.3333333333333
LCAT_POOL,0.0,1000.0
LNS14DM,0.0,277.7777777777777
LNS14DMr,0.0,222.22222222222223
LNSTLSr,0.0,222.2222222222222
LSTO1r,0.0,222.22222222222223
LSTO2r,0.0,222.22222222222223
MEVK1c,0.0,1000.0
MEVK1x,0.0,666.6666666666666
NPDPS,-1000.0,1000.0
P450SCC1m,0.0,1000.0
PMEVKc,0.0,1000.0
PMEVKx,0.0,666.6666666666666
RE2220C,0.0,0.0
RE2410C,0.0,1000.0
RE2410N,0.0,0.0
RE3134C,0.0,0.0
RE3134R,0.0,0.0
RE3136C,0.0,0.0
RE3372C,-1000.0,0.0
SOAT11,0.0,1000.0
SOAT11r,0.0,0.0
SOAT12,0.0,1000.0
SOAT12r,0.0,0.0
SQLEr,0.0,222.22222222222223
SQLSr,0.0,222.22222222222223
XOLEST181CEH,0.0,0.0
XOLEST183CEH,0.0,1000.0
XOLEST205CEH,0.0,1000.0
XOLEST226CEH,0.0,1000.0
r0463,-1000.0,0.0
r0488,-1000.0,1000.0
r0575,0.0,222.22222222222223
r0780,-1000.0,1000.0
r0783,-1000.0,1000.0
r1180,0.0,0.0
r1184,0.0,0.0
r1381,-1000.0,1000.0
A4GNT1g,0.0,200.0
A4GNT2g,0.0,200.0
ABO1g,0.0,333.33333333333337
ABO2g,0.0,333.33333333333337
ABO3g,0.0,333.3333333333333
ABO4g,0.0,200.0
ABO5g,0.0,200.0
ABO6g,0.0,142.85714285714286
ABO7g,0.0,142.85714285714286
ABO8g,0.0,200.0
ABO9g,0.0,125.0
AHEXASE2ly,0.0,111.11111111111111
AHEXASEly,0.0,111.11111111111111
A_MANASE,0.0,0.0
A_MANASEly,0.0,111.11111111111113
B3GALTg,0.0,500.0
B3GNT11g,0.0,250.0
B3GNT12g,0.0,166.66666666666669
B3GNT310g,0.0,500.0
B3GNT311g,0.0,200.0
B3GNT312g,0.0,250.0
B3GNT313g,0.0,142.85714285714286
B3GNT314g,0.0,125.0
B3GNT315g,0.0,166.66666666666666
B3GNT38g,0.0,1000.0
B3GNT51g,0.0,500.0
BDMT,0.0,111.11111111111111
B_MANNASEly,0.0,111.11111111111111
CORE2GTg,0.0,200.0
CORE3GTg,0.0,90.9090909090909
CORE4GTg,0.0,90.9090909090909
CORE5GTg,0.0,0.0
CORE6GTg,0.0,333.3333333333333
CORE7GTg,0.0,0.0
CORE8GTg,0.0,0.0
DEDOLP1,0.0,0.0
DEDOLP2,0.0,0.0
DEDOLR,0.0,0.0
DHDDS,0.0,0.0
DOLASNTer,0.0,111.1111111111111
DOLDPPer,0.0,111.1111111111111
DOLGLCP_ter,0.0,1000.0
DOLGPP_er,0.0,1000.0
DOLICHOL_ter,0.0,1000.0
DOLK,0.0,1000.0
DOLMANP_ter,0.0,444.44444444444434
DOLPGT1er,0.0,111.1111111111111
DOLPGT2er,0.0,111.1111111111111
DOLPGT3er,0.0,111.1111111111111
DOLPH_er,0.0,1000.0
DOLPMT,0.0,444.44444444444446
DOLPMT1er,0.0,111.11111111111111
DOLPMT2_er,0.0,111.1111111111111
DOLPMT3er,0.0,111.11111111111111
DOLPMT4_er,0.0,111.1111111111111
DOLP_ter,0.0,1000.0
DPPS,0.0,166.66666666666669
ENGASE,0.0,0.0
ENGASE2,0.0,0.0
ENGASE2ly,0.0,111.1111111111111
ENGASEly,0.0,111.1111111111111
ENMAN1g,0.0,0.0
ENMAN2g,0.0,0.0
ENMAN3g,0.0,0.0
ENMAN4g,0.0,0.0
ENMAN5g,0.0,0.0
ENMAN6g,0.0,0.0
F6T2g,0.0,111.11111111111109
F6T3g,0.0,111.1111111111111
F6T4g,0.0,0.0
F6T5g,0.0,0.0
F6T6g,0.0,0.0
F6Tg,0.0,111.11111111111111
FT,0.0,1000.0
FUCASEe,0.0,1000.0
FUCASEly,0.0,111.11111111111111
FUT12g,0.0,500.0
FUT14g,0.0,500.0
FUT15g,0.0,200.0
FUT16g,0.0,250.0
FUT17g,0.0,142.85714285714286
FUT18g,0.0,125.0
FUT31g,0.0,500.0
FUT32g,0.0,500.0
FUT33g,0.0,333.3333333333333
FUT34g,0.0,500.0
FUT35g,0.0,333.3333333333333
FUT910g,0.0,166.66666666666666
FUT911g,0.0,166.66666666666666
FUT91g,0.0,500.0
FUT92g,0.0,500.0
FUT93g,0.0,500.0
FUT94g,0.0,250.0
FUT95g,0.0,250.0
FUT96g,0.0,250.0
FUT97g,0.0,250.0
FUT98g,0.0,250.0
FUT99g,0.0,166.66666666666669
G12MT1,0.0,1000.0
G12MT2,0.0,1000.0
G13MT,0.0,111.11111111111111
G14N10g,0.0,0.0
G14N11g,0.0,0.0
G14N12g,0.0,0.0
G14N13g,0.0,0.0
G14N14g,0.0,0.0
G14N15g,0.0,0.0
G14N16g,0.0,0.0
G14N17g,0.0,0.0
G14N18g,0.0,0.0
G14N19g,0.0,0.0
G14N1g,0.0,0.0
G14N20g,0.0,0.0
G14N21g,0.0,0.0
G14N2g,0.0,0.0
G14N3g,0.0,0.0
G14N4g,0.0,0.0
G14N5g,0.0,0.0
G14N6g,0.0,0.0
G14N7g,0.0,0.0
G14N8g,0.0,0.0
G14N9g,0.0,0.0
G14Tg,0.0,111.11111111111111
G16MT,0.0,1000.0
G1M6MASNB1terg,0.0,0.0
G1M7MASNBterg,0.0,0.0
G1M7MASNCterg,0.0,0.0
G1M8MASNterg,0.0,0.0
G2M8MASNterg,0.0,0.0
G3M8MASNterg,0.0,0.0
GALASE1ly,0.0,111.1111111111111
GALNTg,0.0,333.3333333333333
GASNASE2ly,0.0,111.1111111111111
GASNASEly,0.0,111.1111111111111
GAUGE-R01658,-1000.0,555.5555555555555
GAUGE-R06127,-1000.0,111.11111111111111
GAUGE-R06128,-1000.0,111.11111111111113
GAUGE-R06238,-1000.0,111.11111111111113
GCNTg,0.0,125.0
GGT,0.0,0.0
GLCNACPT,0.0,111.11111111111113
GLCNACT,0.0,111.11111111111111
GLNSP2,0.0,0.0
GNCORE2t,0.0,0.0
HMR_1532,-1000.0,1000.0
HMR_7180,0.0,0.0
HMR_7181,0.0,0.0
HMR_7328,0.0,0.0
HMR_7329,0.0,0.0
HMR_8271,0.0,500.0
