NCBI GeneID	Symbol	Description	Taxonomic Name	Gene Type	Transcripts	Gene Group Identifier	Gene Group Method
100689424	Npc1	NPC intracellular cholesterol transporter 1	Cricetulus griseus	PROTEIN_CODING	1	4864	NCBI Ortholog
100689448	Ptdss2	phosphatidylserine synthase 2	Cricetulus griseus	PROTEIN_CODING	1	81490	NCBI Ortholog
100689463	Parp1	poly(ADP-ribose) polymerase 1	Cricetulus griseus	PROTEIN_CODING	1	142	NCBI Ortholog
100736555	Smu1	SMU1 DNA replication regulator and spliceosomal factor	Cricetulus griseus	PROTEIN_CODING	2	55234	NCBI Ortholog
100762792	Prnp	prion protein	Cricetulus griseus	PROTEIN_CODING	3	5621	NCBI Ortholog
100766627	Kars1	lysyl-tRNA synthetase 1	Cricetulus griseus	PROTEIN_CODING	4	3735	NCBI Ortholog
100689049	Mpdu1	mannose-P-dolichol utilization defect 1	Cricetulus griseus	PROTEIN_CODING	6	9526	NCBI Ortholog
100689417	Mbtps1	membrane bound transcription factor peptidase, site 1	Cricetulus griseus	PROTEIN_CODING	1	8720	NCBI Ortholog
100768664	Bdnf	brain derived neurotrophic factor	Cricetulus griseus	PROTEIN_CODING	5	627	NCBI Ortholog
100689277	Ap3m1	adaptor related protein complex 3 subunit mu 1	Cricetulus griseus	PROTEIN_CODING	4	26985	NCBI Ortholog
100684971	Adam17	ADAM metallopeptidase domain 17	Cricetulus griseus	PROTEIN_CODING	1	6868	NCBI Ortholog
100689093	Pisd	phosphatidylserine decarboxylase	Cricetulus griseus	PROTEIN_CODING	14	23761	NCBI Ortholog
100689325	Ugp2	UDP-glucose pyrophosphorylase 2	Cricetulus griseus	PROTEIN_CODING	1	7360	NCBI Ortholog
100689399	Ldlr	low density lipoprotein receptor	Cricetulus griseus	PROTEIN_CODING	2	3949	NCBI Ortholog
100689462	Hsph1	heat shock protein family H (Hsp110) member 1	Cricetulus griseus	PROTEIN_CODING	1	10808	NCBI Ortholog
100689047	Pex2	peroxisomal biogenesis factor 2	Cricetulus griseus	PROTEIN_CODING	3	5828	NCBI Ortholog
100761880	Notch1	notch receptor 1	Cricetulus griseus	PROTEIN_CODING	2	4851	NCBI Ortholog
100682530	Plec	plectin	Cricetulus griseus	PROTEIN_CODING	1		
100689099	Vim	vimentin	Cricetulus griseus	PROTEIN_CODING	2	7431	NCBI Ortholog
100689222	App	amyloid beta precursor protein	Cricetulus griseus	PROTEIN_CODING	7	351	NCBI Ortholog
100689326	Sptlc1	serine palmitoyltransferase long chain base subunit 1	Cricetulus griseus	PROTEIN_CODING	1	10558	NCBI Ortholog
100689472	Hspa8	heat shock protein family A (Hsp70) member 8	Cricetulus griseus	PROTEIN_CODING	1	3312	NCBI Ortholog
100757429	Fgf2	fibroblast growth factor 2	Cricetulus griseus	PROTEIN_CODING	2	2247	NCBI Ortholog
100689388	Ilk	integrin linked kinase	Cricetulus griseus	PROTEIN_CODING	2	3611	NCBI Ortholog
100766256	Atr	ATR serine/threonine kinase	Cricetulus griseus	PROTEIN_CODING	1	545	NCBI Ortholog
102466539	Mir23a	microRNA mir-23a	Cricetulus griseus	ncRNA	1		
100689026	Ubtf	upstream binding transcription factor	Cricetulus griseus	PROTEIN_CODING	4	7343	NCBI Ortholog
100689056	Ncl	nucleolin	Cricetulus griseus	PROTEIN_CODING	2	4691	NCBI Ortholog
100689188	Slc38a2	solute carrier family 38 member 2	Cricetulus griseus	PROTEIN_CODING	4	54407	NCBI Ortholog
100689395	Tfrc	transferrin receptor	Cricetulus griseus	PROTEIN_CODING	1	7037	NCBI Ortholog
100689449	Pgs1	phosphatidylglycerophosphate synthase 1	Cricetulus griseus	PROTEIN_CODING	1	9489	NCBI Ortholog
100736557	Gapdh	glyceraldehyde-3-phosphate dehydrogenase	Cricetulus griseus	PROTEIN_CODING	1	2597	NCBI Ortholog
100769796	Pex14	peroxisomal biogenesis factor 14	Cricetulus griseus	PROTEIN_CODING	5	5195	NCBI Ortholog
3979179	ND4	NADH dehydrogenase subunit 4	Cricetulus griseus	PROTEIN_CODING			
3979180	ND5	NADH dehydrogenase subunit 5	Cricetulus griseus	PROTEIN_CODING			
3979181	ND6	NADH dehydrogenase subunit 6	Cricetulus griseus	PROTEIN_CODING			
3979182	CYTB	cytochrome b	Cricetulus griseus	PROTEIN_CODING			
3979183	ND1	NADH dehydrogenase subunit 1	Cricetulus griseus	PROTEIN_CODING			
3979184	ND2	NADH dehydrogenase subunit 2	Cricetulus griseus	PROTEIN_CODING			
3979185	COX1	cytochrome c oxidase subunit I	Cricetulus griseus	PROTEIN_CODING			
3979186	COX2	cytochrome c oxidase subunit II	Cricetulus griseus	PROTEIN_CODING			
3979187	ATP8	ATP synthase F0 subunit 8	Cricetulus griseus	PROTEIN_CODING			
3979189	COX3	cytochrome c oxidase subunit III	Cricetulus griseus	PROTEIN_CODING			
3979190	ND3	NADH dehydrogenase subunit 3	Cricetulus griseus	PROTEIN_CODING			
100689258	Mir21	microRNA mir-21	Cricetulus griseus	ncRNA	1		
100682537	Abcb1b	ATP-binding cassette, sub-family B (MDR/TAP), member 1B	Cricetulus griseus	PROTEIN_CODING	8		
100689398	Impdh2	inosine monophosphate dehydrogenase 2	Cricetulus griseus	PROTEIN_CODING	2	3615	NCBI Ortholog
100689421	Gbf1	golgi brefeldin A resistant guanine nucleotide exchange factor 1	Cricetulus griseus	PROTEIN_CODING	6	8729	NCBI Ortholog
100682531	Kif23	kinesin family member 23	Cricetulus griseus	PROTEIN_CODING	3	9493	NCBI Ortholog
100682532	Manea	mannosidase endo-alpha	Cricetulus griseus	PROTEIN_CODING	1	79694	NCBI Ortholog
100689041	Hspg2	heparan sulfate proteoglycan 2	Cricetulus griseus	PROTEIN_CODING	2	3339	NCBI Ortholog
100689044	Ercc4	ERCC excision repair 4, endonuclease catalytic subunit	Cricetulus griseus	PROTEIN_CODING	1	2072	NCBI Ortholog
100689046	Top1	DNA topoisomerase I	Cricetulus griseus	PROTEIN_CODING	1	7150	NCBI Ortholog
100689050	Adapt15	hydrogen peroxide-induced mRNA	Cricetulus griseus	ncRNA	1		
100689058	Rps2	ribosomal protein S2	Cricetulus griseus	PROTEIN_CODING	2	6187	NCBI Ortholog
100689060	Adsl	adenylosuccinate lyase	Cricetulus griseus	PROTEIN_CODING	2	158	NCBI Ortholog
100689075	Cirbp	cold inducible RNA binding protein	Cricetulus griseus	PROTEIN_CODING	5	1153	NCBI Ortholog
100689081	Nherf1	NHERF family PDZ scaffold protein 1	Cricetulus griseus	PROTEIN_CODING	2	9368	NCBI Ortholog
100689094	Slc31a1	solute carrier family 31 member 1	Cricetulus griseus	PROTEIN_CODING	1	1317	NCBI Ortholog
100689098	Mogs	mannosyl-oligosaccharide glucosidase	Cricetulus griseus	PROTEIN_CODING	2	7841	NCBI Ortholog
100689101	Ctps1	CTP synthase 1	Cricetulus griseus	PROTEIN_CODING	7	1503	NCBI Ortholog
100689189	P2ry2	purinergic receptor P2Y2	Cricetulus griseus	PROTEIN_CODING	2	5029	NCBI Ortholog
100689195	Sars1	seryl-tRNA synthetase 1	Cricetulus griseus	PROTEIN_CODING	2	6301	NCBI Ortholog
100689196	Xpa	XPA, DNA damage recognition and repair factor	Cricetulus griseus	PROTEIN_CODING	14	7507	NCBI Ortholog
100689197	Brca2	BRCA2 DNA repair associated	Cricetulus griseus	PROTEIN_CODING	9	675	NCBI Ortholog
100689201	Ddrgk1	DDRGK domain containing 1	Cricetulus griseus	PROTEIN_CODING	4	65992	NCBI Ortholog
100689206	Trpc1	transient receptor potential cation channel subfamily C member 1	Cricetulus griseus	PROTEIN_CODING	10	7220	NCBI Ortholog
100689232	Cad	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	Cricetulus griseus	PROTEIN_CODING	4	790	NCBI Ortholog
100689242	Atp7a	ATPase copper transporting alpha	Cricetulus griseus	PROTEIN_CODING	10	538	NCBI Ortholog
100689245	Pparg	peroxisome proliferator activated receptor gamma	Cricetulus griseus	PROTEIN_CODING	11	5468	NCBI Ortholog
100689281	Apex1	apurinic/apyrimidinic endodeoxyribonuclease 1	Cricetulus griseus	PROTEIN_CODING	2	328	NCBI Ortholog
100689285	Tk1	thymidine kinase 1	Cricetulus griseus	PROTEIN_CODING	2	7083	NCBI Ortholog
100689293	Rps13	ribosomal protein S13	Cricetulus griseus	PROTEIN_CODING	1	6207	NCBI Ortholog
100689302	Pex19	peroxisomal biogenesis factor 19	Cricetulus griseus	PROTEIN_CODING	1	5824	NCBI Ortholog
100689304	Top2a	DNA topoisomerase II alpha	Cricetulus griseus	PROTEIN_CODING	1	7153	NCBI Ortholog
100689306	Xrcc5	X-ray repair cross complementing 5	Cricetulus griseus	PROTEIN_CODING	1	7520	NCBI Ortholog
100689307	Tmed2	transmembrane p24 trafficking protein 2	Cricetulus griseus	PROTEIN_CODING	2	10959	NCBI Ortholog
100689308	Hyou1	hypoxia up-regulated 1	Cricetulus griseus	PROTEIN_CODING	1	10525	NCBI Ortholog
100689315	Slc3a2	solute carrier family 3 member 2	Cricetulus griseus	PROTEIN_CODING	1	6520	NCBI Ortholog
100689317	Soat1	sterol O-acyltransferase 1	Cricetulus griseus	PROTEIN_CODING	1	6646	NCBI Ortholog
100689320	Slc9a1	solute carrier family 9 member A1	Cricetulus griseus	PROTEIN_CODING	1	6548	NCBI Ortholog
100689322	Slc35a1	solute carrier family 35 member A1	Cricetulus griseus	PROTEIN_CODING	1	10559	NCBI Ortholog
100689324	Rad51	RAD51 recombinase	Cricetulus griseus	PROTEIN_CODING	2	5888	NCBI Ortholog
100689329	Tlr4	toll like receptor 4	Cricetulus griseus	PROTEIN_CODING	3	7099	NCBI Ortholog
100689350	Hdac5	histone deacetylase 5	Cricetulus griseus	PROTEIN_CODING	9	10014	NCBI Ortholog
100689361	Ndufb11	NADH:ubiquinone oxidoreductase subunit B11	Cricetulus griseus	PROTEIN_CODING	1	54539	NCBI Ortholog
100689367	Ercc3	ERCC excision repair 3, TFIIH core complex helicase subunit	Cricetulus griseus	PROTEIN_CODING	1	2071	NCBI Ortholog
100689371	Bcl2l1	BCL2 like 1	Cricetulus griseus	PROTEIN_CODING	7	598	NCBI Ortholog
100689403	Map2k1	mitogen-activated protein kinase kinase 1	Cricetulus griseus	PROTEIN_CODING	1	5604	NCBI Ortholog
100689405	Hspa9	heat shock protein family A (Hsp70) member 9	Cricetulus griseus	PROTEIN_CODING	1	3313	NCBI Ortholog
100689407	Slc19a1	solute carrier family 19 member 1	Cricetulus griseus	PROTEIN_CODING	6	6573	NCBI Ortholog
100689409	B2m	beta-2-microglobulin	Cricetulus griseus	PROTEIN_CODING	1	567	NCBI Ortholog
100689412	Cope	COPI coat complex subunit epsilon	Cricetulus griseus	PROTEIN_CODING	2	11316	NCBI Ortholog
100689433	P4hb	prolyl 4-hydroxylase subunit beta	Cricetulus griseus	PROTEIN_CODING	1	5034	NCBI Ortholog
100689440	St3gal4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4	Cricetulus griseus	PROTEIN_CODING	2	6484	NCBI Ortholog
100689446	Gart	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	Cricetulus griseus	PROTEIN_CODING	2	2618	NCBI Ortholog
100689450	Gne	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	Cricetulus griseus	PROTEIN_CODING	1	10020	NCBI Ortholog
100689464	Slc1a3	solute carrier family 1 member 3	Cricetulus griseus	PROTEIN_CODING	3	6507	NCBI Ortholog
100689465	Cep135	centrosomal protein 135	Cricetulus griseus	PROTEIN_CODING	1	9662	NCBI Ortholog
100689473	Hspd1	heat shock protein family D (Hsp60) member 1	Cricetulus griseus	PROTEIN_CODING	2	3329	NCBI Ortholog
100689474	Rcan1	regulator of calcineurin 1	Cricetulus griseus	PROTEIN_CODING	1	1827	NCBI Ortholog
100689475	Elk3	ETS transcription factor ELK3	Cricetulus griseus	PROTEIN_CODING	1	2004	NCBI Ortholog
100689476	Tcp1	t-complex 1	Cricetulus griseus	PROTEIN_CODING	1	6950	NCBI Ortholog
100751963	Lgals1	galectin 1	Cricetulus griseus	PROTEIN_CODING	2	3956	NCBI Ortholog
100752355	Kifc1	kinesin family member C1	Cricetulus griseus	PROTEIN_CODING	5	3833	NCBI Ortholog
100755703	Vkorc1	vitamin K epoxide reductase complex subunit 1	Cricetulus griseus	PROTEIN_CODING	2	79001	NCBI Ortholog
100756336	Atp11c	ATPase phospholipid transporting 11C	Cricetulus griseus	PROTEIN_CODING	8	286410	NCBI Ortholog
100757731	Akap7	A-kinase anchoring protein 7	Cricetulus griseus	PROTEIN_CODING	14	9465	NCBI Ortholog
100758493	Pola1	DNA polymerase alpha 1, catalytic subunit	Cricetulus griseus	PROTEIN_CODING	8	5422	NCBI Ortholog
100760162	Mgat5	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase	Cricetulus griseus	PROTEIN_CODING	8	4249	NCBI Ortholog
100760225	Asns	asparagine synthetase (glutamine-hydrolyzing)	Cricetulus griseus	PROTEIN_CODING	4	440	NCBI Ortholog
100760699	Pla2g15	phospholipase A2 group XV	Cricetulus griseus	PROTEIN_CODING	4	23659	NCBI Ortholog
100761836	Ncstn	nicastrin	Cricetulus griseus	PROTEIN_CODING	2	23385	NCBI Ortholog
100763481	Hspb1	heat shock protein family B (small) member 1	Cricetulus griseus	PROTEIN_CODING	2	3315	NCBI Ortholog
100765665	Aprt	adenine phosphoribosyltransferase	Cricetulus griseus	PROTEIN_CODING	2	353	NCBI Ortholog
100766716	Cdk1	cyclin dependent kinase 1	Cricetulus griseus	PROTEIN_CODING	6	983	NCBI Ortholog
100767279	Yy1	YY1 transcription factor	Cricetulus griseus	PROTEIN_CODING	3	7528	NCBI Ortholog
100767723	Rars1	arginyl-tRNA synthetase 1	Cricetulus griseus	PROTEIN_CODING	2	5917	NCBI Ortholog
100768997	Prkaca	protein kinase cAMP-activated catalytic subunit alpha	Cricetulus griseus	PROTEIN_CODING	2	5566	NCBI Ortholog
100769040	Uba1	ubiquitin like modifier activating enzyme 1	Cricetulus griseus	PROTEIN_CODING	3	7317	NCBI Ortholog
100769217	Cldn6	claudin 6	Cricetulus griseus	PROTEIN_CODING	4	9074	NCBI Ortholog
100769490	Ppia	peptidylprolyl isomerase A	Cricetulus griseus	PROTEIN_CODING	3	5478	NCBI Ortholog
100774617	Brip1	BRCA1 interacting helicase 1	Cricetulus griseus	PROTEIN_CODING	6	83990	NCBI Ortholog
100774903	Mcm3	minichromosome maintenance complex component 3	Cricetulus griseus	PROTEIN_CODING	4	4172	NCBI Ortholog
100689036	Fut9	fucosyltransferase 9	Cricetulus griseus	PROTEIN_CODING	1	10690	NCBI Ortholog
100754392	Calb2	calbindin 2	Cricetulus griseus	PROTEIN_CODING	6	794	NCBI Ortholog
100682526	Tuba1c	tubulin, alpha 1C	Cricetulus griseus	PROTEIN_CODING	1		
100682528	Tuba1b	tubulin, alpha 1B	Cricetulus griseus	PROTEIN_CODING	2	10376	NCBI Ortholog
100689020	Chcr2	carbonyl reductase 2	Cricetulus griseus	PROTEIN_CODING	1		
100689082	Xpr1	xenotropic and polytropic retrovirus receptor 1	Cricetulus griseus	PROTEIN_CODING	1	9213	NCBI Ortholog
100682534	Furin	furin, paired basic amino acid cleaving enzyme	Cricetulus griseus	PROTEIN_CODING	3	5045	NCBI Ortholog
100689033	Cyp2a14	Cytochrome P-450 2A14	Cricetulus griseus	PROTEIN_CODING	1		
100689035	Cyp2a15	cytochrome P450 2A15	Cricetulus griseus	PROTEIN_CODING	1		
100689274	Cenpb	centromere protein B	Cricetulus griseus	PROTEIN_CODING	1	1059	NCBI Ortholog
100689275	Cyp7a1	cytochrome P450, family 7, subfamily a, polypeptide 1	Cricetulus griseus	PROTEIN_CODING	1	1581	NCBI Ortholog
100689279	Rho	rhodopsin	Cricetulus griseus	PROTEIN_CODING	1	6010	NCBI Ortholog
100689301	Neu2	neuraminidase 2	Cricetulus griseus	PROTEIN_CODING	1	4759	NCBI Ortholog
100689314	Tst	thiosulfate sulfurtransferase	Cricetulus griseus	PROTEIN_CODING	1	7263	NCBI Ortholog
100689319	Hbb	beta major globin chain	Cricetulus griseus	PROTEIN_CODING	3		
100689365	Dph2	diphthamide biosynthesis 2	Cricetulus griseus	PROTEIN_CODING	1	1802	NCBI Ortholog
100689379	S100b	S100 calcium binding protein B	Cricetulus griseus	PROTEIN_CODING	1	6285	NCBI Ortholog
100689382	Slc35c1	solute carrier family 35 member C1	Cricetulus griseus	PROTEIN_CODING	1	55343	NCBI Ortholog
100689391	Cmah	cytidine monophospho-N-acetylneuraminic acid hydroxylase	Cricetulus griseus	PROTEIN_CODING	4		
100689396	Slc10a2	solute carrier family 10 member 2	Cricetulus griseus	PROTEIN_CODING	1	6555	NCBI Ortholog
100689401	Cdkn1b	cyclin dependent kinase inhibitor 1B	Cricetulus griseus	PROTEIN_CODING	1	1027	NCBI Ortholog
100689418	Fos	Fos proto-oncogene, AP-1 transcription factor subunit	Cricetulus griseus	PROTEIN_CODING	1	2353	NCBI Ortholog
100689419	B3gat3	beta-1,3-glucuronyltransferase 3	Cricetulus griseus	PROTEIN_CODING	1	26229	NCBI Ortholog
100689422	Plaur	plasminogen activator, urokinase receptor	Cricetulus griseus	PROTEIN_CODING	3	5329	NCBI Ortholog
100689427	Sat1	spermidine/spermine N1-acetyltransferase 1	Cricetulus griseus	PROTEIN_CODING	2	6303	NCBI Ortholog
100689430	B4galt1	beta-1,4-galactosyltransferase 1	Cricetulus griseus	PROTEIN_CODING	1	2683	NCBI Ortholog
100689470	Trf1	telomeric repeat binding factor 1	Cricetulus griseus	PROTEIN_CODING			
100689471	Htr2a	5-hydroxytryptamine receptor 2A	Cricetulus griseus	PROTEIN_CODING	1	3356	NCBI Ortholog
100754506	Cftr	CF transmembrane conductance regulator	Cricetulus griseus	PROTEIN_CODING	2	1080	NCBI Ortholog
100757057	Cd14	CD14 molecule	Cricetulus griseus	PROTEIN_CODING	2	929	NCBI Ortholog
100758991	Paics	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase	Cricetulus griseus	PROTEIN_CODING	8	10606	NCBI Ortholog
100759619	Abcg1	ATP binding cassette subfamily G member 1	Cricetulus griseus	PROTEIN_CODING	2	9619	NCBI Ortholog
100760143	Gfra1	GDNF family receptor alpha 1	Cricetulus griseus	PROTEIN_CODING	3	2674	NCBI Ortholog
100761481	Kcnq1	potassium voltage-gated channel subfamily Q member 1	Cricetulus griseus	PROTEIN_CODING	2	3784	NCBI Ortholog
100766070	Ucn	urocortin	Cricetulus griseus	PROTEIN_CODING	2	7349	NCBI Ortholog
100767961	Cdc25a	cell division cycle 25A	Cricetulus griseus	PROTEIN_CODING	1	993	NCBI Ortholog
100770686	Lyz	lysozyme	Cricetulus griseus	PROTEIN_CODING	2	4069	NCBI Ortholog
100771135	Trpv1	transient receptor potential cation channel subfamily V member 1	Cricetulus griseus	PROTEIN_CODING	2	7442	NCBI Ortholog
100771493	Enho	energy homeostasis associated	Cricetulus griseus	PROTEIN_CODING	2	375704	NCBI Ortholog
100774580	Egfr	epidermal growth factor receptor	Cricetulus griseus	PROTEIN_CODING	8	1956	NCBI Ortholog
100689053	Rps17	ribosomal protein S17	Cricetulus griseus	PROTEIN_CODING	1	6218	NCBI Ortholog
100682527	Tuba1a	tubulin, alpha 1A	Cricetulus griseus	PROTEIN_CODING	1		
100689019	Chcr1	carbonyl reductase 1	Cricetulus griseus	PROTEIN_CODING	3		
100689259	Rn28s1	28S ribosomal RNA	Cricetulus griseus	rRNA	1		
100736551	Adk	adenosine kinase	Cricetulus griseus	PROTEIN_CODING	1	132	NCBI Ortholog
100689332	Prdx1	peroxiredoxin 1	Cricetulus griseus	PROTEIN_CODING	2	5052	NCBI Ortholog
102464901	Mir23b	microRNA mir-23b	Cricetulus griseus	ncRNA	1		
102464913	Mir30c-2	microRNA mir-30c-2	Cricetulus griseus	ncRNA	1		
100689059	Cxcl1	chemokine (C-X-C motif) ligand 1	Cricetulus griseus	PROTEIN_CODING	1		
100766119	Ywhaz	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	Cricetulus griseus	PROTEIN_CODING	2	7534	NCBI Ortholog
102466549	Mir377	microRNA mir-377	Cricetulus griseus	ncRNA	1		
100689025	Slc20a1	solute carrier family 20 member 1	Cricetulus griseus	PROTEIN_CODING	1	6574	NCBI Ortholog
100689029	Lpin1	lipin 1	Cricetulus griseus	PROTEIN_CODING	3	23175	NCBI Ortholog
100689032	Bax	BCL2 associated X, apoptosis regulator	Cricetulus griseus	PROTEIN_CODING	1	581	NCBI Ortholog
100689039	Cdk2	cyclin dependent kinase 2	Cricetulus griseus	PROTEIN_CODING	1	1017	NCBI Ortholog
100689042	Orc5	origin recognition complex subunit 5	Cricetulus griseus	PROTEIN_CODING	3	5001	NCBI Ortholog
100689043	Orc4	origin recognition complex subunit 4	Cricetulus griseus	PROTEIN_CODING	4	5000	NCBI Ortholog
100689057	Sdc1	syndecan 1	Cricetulus griseus	PROTEIN_CODING	1	6382	NCBI Ortholog
100689085	Mbtps2	membrane bound transcription factor peptidase, site 2	Cricetulus griseus	PROTEIN_CODING	3	51360	NCBI Ortholog
100689092	Bst2	bone marrow stromal cell antigen 2	Cricetulus griseus	PROTEIN_CODING	1	684	NCBI Ortholog
100689106	Akr1a1	aldo-keto reductase family 1 member A1	Cricetulus griseus	PROTEIN_CODING	2	10327	NCBI Ortholog
100689219	Klc1	kinesin light chain 1	Cricetulus griseus	PROTEIN_CODING	27	3831	NCBI Ortholog
100689238	Aimp1	aminoacyl tRNA synthetase complex interacting multifunctional protein 1	Cricetulus griseus	PROTEIN_CODING	1	9255	NCBI Ortholog
100689240	Glg1	golgi glycoprotein 1	Cricetulus griseus	PROTEIN_CODING	1	2734	NCBI Ortholog
100689303	Pcyt1a	phosphate cytidylyltransferase 1A, choline	Cricetulus griseus	PROTEIN_CODING	1	5130	NCBI Ortholog
100689310	Eef1e1	eukaryotic translation elongation factor 1 epsilon 1	Cricetulus griseus	PROTEIN_CODING	1	9521	NCBI Ortholog
100689311	Gstp1	glutathione S-transferase, pi 1	Cricetulus griseus	PROTEIN_CODING	1		
100689316	Lamp2	lysosomal associated membrane protein 2	Cricetulus griseus	PROTEIN_CODING	1	3920	NCBI Ortholog
100689323	Fxr1	FMR1 autosomal homolog 1	Cricetulus griseus	PROTEIN_CODING	1	8087	NCBI Ortholog
100689334	Ext1	exostosin glycosyltransferase 1	Cricetulus griseus	PROTEIN_CODING	1	2131	NCBI Ortholog
100689342	Ly96	lymphocyte antigen 96	Cricetulus griseus	PROTEIN_CODING	2	23643	NCBI Ortholog
100689368	Bak1	BCL2 antagonist/killer 1	Cricetulus griseus	PROTEIN_CODING	3	578	NCBI Ortholog
100689402	Sdhc	succinate dehydrogenase complex subunit C	Cricetulus griseus	PROTEIN_CODING	2	6391	NCBI Ortholog
100689406	Lamp1	lysosomal associated membrane protein 1	Cricetulus griseus	PROTEIN_CODING	1	3916	NCBI Ortholog
100689457	Mppe1	metallophosphoesterase 1	Cricetulus griseus	PROTEIN_CODING	2	65258	NCBI Ortholog
100689459	Cenpa	centromere protein A	Cricetulus griseus	PROTEIN_CODING	3	1058	NCBI Ortholog
100689467	Pgk1	phosphoglycerate kinase 1	Cricetulus griseus	PROTEIN_CODING	1	5230	NCBI Ortholog
100736552	Scarb1	scavenger receptor class B member 1	Cricetulus griseus	PROTEIN_CODING	3	949	NCBI Ortholog
